"glossary_term","glossary_translation","source","target","file","location"
"click","أضغط","You can select multiple animal types if you hold down Ctrl during selection. If you then click on the map, an instance of one of the selected animal types will be placed.","يمكنك تحديد عدة أنواع من الحيوانات إذا قمت بالضغط على مفتاح Ctrl أثناء التحديد. إذا قمت بالنقر فوق الخريطة، فسيتم وضع مثيل لإحدي أنواع الحيوانات المحددة.","texts","../../data/txts/tips/editor.lua:12"
"click","أضغط","Click on the map to increase, Shift + Click on the map to decrease terrain height","إضغط علي الخريطة للزيادة، Shift + إضغط لكي تُخفض إرتفاع التربة.","widelands","../../src/editor/ui_menus/tool_change_height_options_menu.cc:60"
"click","أضغط","Ctrl + Click on the map to set terrain height","Ctrl + إضغط علي الخريطة لكي تُحدد إرتفاع التربة","widelands","../../src/editor/ui_menus/tool_change_height_options_menu.cc:63 ../../src/editor/ui_menus/tool_noise_height_options_menu.cc:79"
"click","أضغط","Click on the map to increase, Shift + Click on the map to decrease the amount of the selected resource","إضغط علي الخريطة للزيادة، Shift + إضغط لكي تُخفض كمية الموارد المحددة.","widelands","../../src/editor/ui_menus/tool_change_resources_options_menu.cc:74"
"seafaring","الإبحار","Show seafaring messages only","أظهر رسائل البِحارة فقط","tribes_encyclopedia","../../data/tribes/scripting/help/controls.lua:119"
"team","الفريق; فريق","To establish a smuggling route, you need to build a warehouse on a sending/receiving spot while your team mate has to build one on the corresponding receiving/sending spot. A ware is then transported every 10 seconds.","لإنشاء طريق التهريب، أنت تحتاج أن تبنى مخزن في كل نقطة أرسال/أستقبال حينما يبنى صديقك واحداً أخر علي كل نقاط الأستقبال/الأرسال المقابلة. البضاعة يتم نقلها كل 10 ثواني.","mp_scenario_smugglers.wmf","../../data/maps/MP_Scenarios/Smugglers.wmf/scripting/texts.lua:10"
"team","الفريق; فريق","For harder to defend smuggling routes, you get 2 or 3 points per ware smuggled. The first team to collect %s wins.","بعدها ستُنقَل سلعه كل 10 ثوانى. كل سلعه مُهربة يحصل صاحبها على 2 نقطة او 3 نقاط. أول فريق يُحرز %s يفوز.","mp_scenario_smugglers.wmf","../../data/maps/MP_Scenarios/Smugglers.wmf/scripting/texts.lua:12"
"team","الفريق; فريق","Remember that the map has rotational symmetry. For example, when you have found a spot to the top-left of your headquarters, the corresponding spot will be to the bottom-right of the headquarters of your team mate.","تذكر جيداً أن الخريطة دارت بشكل تناظرى بمعنى أنه مثلاً البُقعة التى كانت عند أعلى يسار مقرك الرئيسى سيتغير موقعها لتصبح فى البُقعة المقابلة لها وهو عند أسفل يمين المقر الرئيسى لزميلك فى الفريق.","mp_scenario_smugglers.wmf","../../data/maps/MP_Scenarios/Smugglers.wmf/scripting/texts.lua:16"
"team","الفريق; فريق","Your team has established a new smuggling route. You have the sending warehouse. Every ware smuggled here is worth %s.","فريقك قد أنشئ طريق تهريب جديد. أنت لديك المخزن المُرسل. كل بضاعة تهرب من هنا تساوى %s.","mp_scenario_smugglers.wmf","../../data/maps/MP_Scenarios/Smugglers.wmf/scripting/texts.lua:26"
"team","الفريق; فريق","Your team has established a new smuggling route. You have the receiving warehouse. Every ware smuggled here is worth %s.","فريقك قد أنشئ طريق تهريب جديد. انت لديك المخزن المُستلم. كل بضاعة تُهرب هنا تساوى %s.","mp_scenario_smugglers.wmf","../../data/maps/MP_Scenarios/Smugglers.wmf/scripting/texts.lua:30"
"team","الفريق; فريق","Search for ancient artifacts. Once all of them are found, the team who owns most of them will win the game.","إبحث عن الآثار القديمة. عندما يتم إيجادهُم كُلهم، الفريق الذي وجَد أكثر يفوز فى اللعبة.","win_conditions","../../data/scripting/win_conditions/artifacts.lua:17"
"team","الفريق; فريق","Your team found a new artifact.","فريقك وَجَد آثار جديدة.","win_conditions","../../data/scripting/win_conditions/artifacts.lua:84"
"team","الفريق; فريق","Your team stole an artifact from an enemy.","فريقك سَرق آثار من الأعداء.","win_conditions","../../data/scripting/win_conditions/artifacts.lua:96"
"team","الفريق; فريق","Status for Team %d","وضع الفريق  %d","win_conditions","../../data/scripting/win_conditions/collectors.lua:107"
"destroy","دمر","If you like to live dangerously, pressing Ctrl while clicking the enhance, dismantle or destroy building buttons will skip the confirmation.","إذا كنت تحب الخطر، فإن الضغط على زر Ctrl أثناء النقر على أزرار التحسين أو التفكيك أو التدمير سيؤدي إلى تخطي التأكيد.","texts","../../data/txts/tips/general_game.lua:57"
"back","رجوع","The clerics retreated into meditation and the reason for the rising water was soon to be found: the god Lutas had lost faith in the Atlanteans because of the boldness of their king. He decided to withdraw the rights that were granted to King Ajanthul and his children. And so, he called them back below the sea again.","رجال الدين رجعوا إلي إلي التفكير والسبب في إرتفاع الماء سرعان ما وُجد: الإله "لوتاس" فقد إيمانه في الأطلانطيين بسبب وقاحة ملكهم. الإله قرر أن يسحب الحقوق التي مُنحت إلي الملك "أجانثول" و أطفاله. وهكذا، هو إستدعاهم لتحت الماء مجدداً.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:158"
"back","رجوع","Welcome back. In this tutorial, I’ll tell you what you can do to check how well your economy works.","أهلاً بعودتك. في هذا الدرس التعليمي، أنا سوف أخبرك ماذا يمكنك أن تفعل لفحص كيفية عمل الإقتصاد.","scenario_tutorial04_economy.wmf","../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:13"
"flag","عَلم","Build a Flag on the Road","أبني عٙلم علي الطريق","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:147"
"flag","عَلم","The player with the color of the flag. If more than one client selected the same color, these share control over the player (‘shared kingdom mode’).","اللاعب مع لون العّلم. إذا إختار أكثر من عميل نفس اللون، هولاء يتشاركون التحكم في لاعب واحد (طور المملكة المشتركة).","texts","../../data/txts/help/multiplayer_help.lua:12"
"flag","عَلم","Use the ‘configure economy’ menu to adjust the target quantity of wares. It can be accessed via the flag menu.","استخدم قائمة "تعديل الإقتصاد" لضبط الكمية المستهدفة من التركيبات. يمكن الوصول إليها عن طريق قائمة العلم.","texts","../../data/txts/tips/general_game.lua:36"
"flag","عَلم","When a building is destroyed, its workers will start looking for a nearby flag from which they can move by road to a connected warehouse. If there are no such flags in the vicinity, they will keep wandering around and eventually die.","عندما يتم تدمير مبنى، سيبدأ عماله بالبحث عن علم قريب يمكنهم من خلاله الانتقال عن طريق البر إلى مستودع متصل. إذا لم تكن هناك مثل هذه الأعلام في المنطقة المجاورة ، فسوف يستمرون في التجول ويتوفون في النهاية.","texts","../../data/txts/tips/general_game.lua:98"
"dismantle","فكك","If you like to live dangerously, pressing Ctrl while clicking the enhance, dismantle or destroy building buttons will skip the confirmation.","إذا كنت تحب الخطر، فإن الضغط على زر Ctrl أثناء النقر على أزرار التحسين أو التفكيك أو التدمير سيؤدي إلى تخطي التأكيد.","texts","../../data/txts/tips/general_game.lua:57"
"player","لا لاعب; اللاعب","Each player has a different obstacle to expansion, and there’s always more than one way to overcome it. While the AI can be defeated here without building a single ship, players are advised to make ports and shipyards a priority – expeditions are universally useful and are often the fastest way to gold deposits.","كل لاعب لديه عقبة مُخِتَلَفَة لتخطيها، ودائماً يوجد أكثر من طريقه لتخطيها. فبينما يمكن هزم الذكاء الصناعي هنا بدون حتى صناعة سفينة واحدة، يُنصَح اللاعبون بجعل المراسي ومستودعات السفن أولوية - البعثات مفيده بشكل عام وغالباً ما تكون الوسيلة الأسرع لودائع الذهب.","maps","../../data/maps/River_Explorers.wmf/elemental:10"
"player","لا لاعب; اللاعب","The player with the color of the flag. If more than one client selected the same color, these share control over the player (‘shared kingdom mode’).","اللاعب مع لون العّلم. إذا إختار أكثر من عميل نفس اللون، هولاء يتشاركون التحكم في لاعب واحد (طور المملكة المشتركة).","texts","../../data/txts/help/multiplayer_help.lua:12"
"player","لا لاعب; اللاعب","In the middle are the settings for the players. To start a game, each player must be one of the following:","فى الوسط هناك إعدادات اللاعب. لكي تبدأ اللعبة، يجب أن يكون كل لاعب واحد من الأتي:","texts","../../data/txts/help/multiplayer_help.lua:16"
"player","لا لاعب; اللاعب","Owned by: Player %u","مملوك لـ: اللاعب %u","widelands","../../src/editor/ui_menus/field_info_window.cc:131"
"player","لا لاعب; اللاعب","The map has been generated. Please double-check the player starting positions to make sure that your carriers won’t drown, or be stuck on an island or on top of a mountain.","الخريطة تم إنشائها. من فضلك تحقق مجدداً من أماكن بدء اللاعبين لكي تتأكد من أنها ليس موضوعة جيداً، أو محجوزة في جزيرة أو في أعلي جبل ما..","widelands","../../src/editor/ui_menus/main_menu_random_map.cc:585"
