"glossary_term","glossary_translation","source","target","file","location"
"Attack","Атака","Three weeks later, I returned to Fremil to speak with our king. He was furious at the Barbarians, yet forbade any attack on these tribes. He believed that our army was too weak to survive in a war against the Barbarians.","Три седмици по-късно, аз се завърнах във Фремил, за да говоря с нашия крал. Той беше бесен на варварите, но забрани всякакви нападения срещу племената им. Той смяташе, че нашата армия не е достатъчно силна за война с варварите.","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:87"
"Attack","Атака","Sire, I fear we are not safe in this foreign land. Who knows what terrible creatures live beyond this forest, in that mighty desert? What if these creatures enter the woods and await the time to attack us?","Ваше величество, страхувам се, че не сме в безопасност в тази чужда страна. Кой знае какви същества живеят в огромната пустиня отвъд тази гора? Ами ако тези същества решат да навлязат в гората и да ни издебнат когато най-малко очакваме?","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:126"
"Attack","Атака","There are still a few Barbarians hiding on our island, but I am sure that we will find them soon. Every Barbarian who doesn’t attack us will be put in a boat with the other peaceful ones, and sent back to their country.","Все още има варвари, криещи се из острова, но аз съм сигурен, че скоро ще ги намерим. Всеки варварин, който не се опитва да ни нападне, ще бъде качен на лодка с останалите мирни варвари и пратен обратно в страната си.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:267"
"Attack","Атака","The message was addressed to me, begging me to come back to Fremil. It says that the Empire is at war with the Barbarians. They were attacked from the north by the tribe that I was forbidden to attack. It is clear to me what I must do…","Съобщението беше до мен и ме умоляваше да се върна във Фремил. Пишеше, че империята е във война с варварите. Те били нападнати от север от племето, с което ми беше забранено да се бия. Знам какво трябва да направя…","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:288"
"Attack","Атака","I am really afraid, because we are completely unprepared should the Barbarians decide to attack us.","Наистина се притеснявам, тъй като въобще не сме подготвени, ако варварите решат да ни нападнат.","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:267"
"Attack","Атака","When you are expanding into no man’s land, you can make your buildings prefer rookies. When you are planning to attack, send heroes into that region. Conquered buildings always prefer heroes.","Когато разширявате територията си към необитаеми земи, може да накарате сградите си да предпочитат новобранци. Когато планирате да нападате, изпратете герои в района. Завладените сгради винаги предпочитат герои.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:191"
"Atlantean","Атландец, атландски","A special tournament in Atlantean culture is the so-called ‘Island Hopping’, where two or more groups try to reach the center island as fast as possible, to be the first erecting a castle on the top of the central mountain.","В атландската култура има един специален турнир, наричан „Островни скокове“, при който две или повече групи се опитват да достигнат централния остров колкото се може, така че да бъдат първите, издигнали замък на върха на централната планина.","maps","../../data/maps/MP_Scenarios/Island_Hopping.wmf/elemental:9"
"Atlantean","Атландец, атландски","Island Hopping is a traditional tournament in Atlantean culture. The rules of the game are simple: you start with a headquarters on an island. When you finish a castle at the end of the first island, you are granted a second headquarters on a second island, which will contain all wares from your first headquarters.","„Островни скокове“ е традиционен турнир в атландската култура. Правилата на играта са прости: започвате с щаб на някой остров. Когато построите замък на края на първия остров, получавате втори щаб на втори остров, който ще съдържа всички стоки от първия Ви щаб.","mp_scenario_island_hopping.wmf","../../data/maps/MP_Scenarios/Island_Hopping.wmf/scripting/texts.lua:9"
"Atlantean","Атландец, атландски","We found an old building, destroyed and burned by flames. I am very worried about this discovery. The building is not of any kind I’ve ever seen. It is certainly not designed by any Atlantean architect I’ve ever heard about. The building is crude, the assemblage is sloppy. But the materials are very enduring: the wood used for it seemed to have been burned in a strange way before it was used as building material – it is hard as stone.","Открихме стара сграда, разрушена и изгорена. Откритието ме притеснява. Не съм виждал подобна сграда досега. Определено не е проектирана от атландски архитект. Сградата е груба и строежът ѝ е немарлив. Но материалите са много издръжливи: дървото, използвано за сградата изглежда обгорено по някакъв странен начин, преди да бъде използвано в строежа, и е твърдо като камък.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:400"
"Atlantean","Атландец, атландски","As no Atlantean likes raw fish, smoking it in a smokery is the most common way to make it edible.","Тъй като атландците не харесват суровата риба, опушването ѝ в пушилна е най-популярният начин да се направи ядлива.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:485"
"Atlantean","Атландец, атландски","This corn is processed in the mill into fine cornmeal that every Atlantean baker needs for a good bread. Also horse and spider farms need to be provided with corn.","Тази царевица се преработва в мелницата и става на фино царевично брашно, от което всеки атландски пекар има нужда, ако иска да направи хубав хляб. Фермите за коне и паяци също имат нужда от царевица.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:526"
"Atlantean","Атландец, атландски","Cornmeal is produced in a mill out of corn and is one of three parts of the Atlantean bread produced in bakeries.","Царевичното брашно се произвежда от царевица в мелница и е една от трите съставки на атландския хляб, който се произвежда в пекарните.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:535"
"Atlantean","Атландец, атландски","The Atlantean fires in smelting works, armor smithies and weapon smithies are fed with coal.","Огньовете в атландските топилни, ковачниците за брони и оръжия, изгарят въглища.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:594"
