"glossary_term","glossary_translation","source","target","file","location"
"OK","Accepta","You have lost and may not continue playing. May you have better luck when you retry this scenario. Click OK to return to the main menu.","Heu perdut i no podeu continuar jugant. Potser tindreu més sort quan torneu a provar l’escenari. Feu clic al botó «D’acord» per tornar al menú principal.","scenario_atl02.wmf","../../data/campaigns/atl02.wmf/scripting/texts.lua:183 ../../data/campaigns/atl02.wmf/scripting/texts.lua:745 ../../data/campaigns/atl02.wmf/scripting/texts.lua:756"
"OK","Accepta","You have lost and may not continue playing. May you have better luck when you retry this scenario. Click OK to return to the main menu.","Heu perdut i no podeu continuar jugant. Potser tindreu més bona sort quan proveu de nou l’escenari. Fe clic al botó de confirmació per tornar al menú principal.","scenario_fri03.wmf","../../data/campaigns/fri03.wmf/scripting/texts.lua:317 ../../data/campaigns/fri03.wmf/scripting/texts.lua:325 ../../data/campaigns/fri03.wmf/scripting/texts.lua:336"
"OK","Accepta","You have lost and may not continue playing. May you have better luck when you retry this scenario. Click OK to return to the main menu.","Heu perdut i no podeu continuar jugant. Potser tindreu més sort quan torneu a provar l’escenari. Feu clic al botó «D’acord» per tornar al menú principal.","scenario_fri04.wmf","../../data/campaigns/fri04.wmf/scripting/texts.lua:245 ../../data/campaigns/fri04.wmf/scripting/texts.lua:254 ../../data/campaigns/fri04.wmf/scripting/texts.lua:263"
"toggle","Activa/Desactiva Mostra/Amaga","Press %s to toggle them, or select ‘Show Building Spaces’ in the ‘Show / Hide’ menu.","Premeu %s o seleccioneu «Mostra els espais de construcció» al menú «Mostra/Amaga».","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:52"
"toggle","Activa/Desactiva Mostra/Amaga","The minimap shows the complete map in miniature. You can directly jump to any field by left-clicking on it. You can also toggle buildings, roads, flags and player indicators on and off inside the minimap.","El minimapa mostra el mapa complet en miniatura. Podeu saltar directament a qualsevol lloc fent-hi clic esquerre al damunt. També podeu activar i desactivar els edificis, camins, banderes i els indicadors de jugador dins del minimapa.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:289"
"toggle","Activa/Desactiva Mostra/Amaga","You can toggle the message window by pressing ‘%s’ or clicking the second button from the right at the very bottom of the screen. The newest message will be marked for you automatically.","Podeu mostrar i amagar la finestra de missatges prement la tecla «%s» o fent clic al segon botó de la part inferior de la pantalla començant per la dreta. El missatge més nou se seleccionarà automàticament.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:490"
"toggle","Activa/Desactiva Mostra/Amaga","The first two tabs show you the production and consumption of any ware. You can toggle them by simply clicking on them.","Les primeres dues pestanyes us mostren la producció i el consum de qualsevol bé. Podeu activar-les fent-hi clic.","scenario_tutorial04_economy.wmf","../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:353"
"toggle","Activa/Desactiva Mostra/Amaga","Press ‘%s’ to quickly toggle the display of your stock inventory.","Premeu la tecla «%s» per obrir o tancar la finestra d’estoc.","texts","../../data/txts/tips/general_game.lua:61"
"Farmer","Agricultor","I think a stock of 50 sheaves of wheat would be enough for starters. We do not have a target quantity for wheat, because the farmer does not need other wares to produce it. All we have to do is watch our stock of wheat grow.","Crec que un estoc de 50 unitats de blat serà suficient per començar. No tenim una quantitat objectiu de blat, perquè el granger no necessita altres béns per produir-ne. Només haurem de vigilar que l’estoc de blat creixi.","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:378"
"Farmer","Agricultor","The farmer working at this cassava plantation has no cleared soil to plant her seeds.","La grangera que viu en aquesta plantació de mandioca no té terreny lliure per sembrar-hi llavors.","tribes","../../data/tribes/buildings/productionsites/amazons/cassava_plantation/init.lua:68"
"Water","Aigua","Build a fisher’s house close to water to get raw fish","Construïu una casa de pescador prop de la costa per aconseguir peix fresc","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:62"
