"glossary_term","glossary_translation","source","target","file","location"
"Al’thunran","Al’thunran","We can see the raging flames that swallow Al’thunran from here, miles away.","Míle odsud, míle daleko, stále vidíme zběsilé plameny, které polykají Al'thunran.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:171"
"Al’thunran","Al’thunran","When I gazed at the horizon, I still saw crimson lights flicker in the distance. It is incredible with how much passion my brethren fight this war. I fear the moment I will see Al’thunran again – will there be anything but ashes and wasted ruins left of our once beautiful capital when we get there?","Když jsem se zahleděl k horizontu, stále jsem v dálce viděl purpurové záblesky. Je až neuvěřitelné, s jakým zápalem mí bratři bojují a prodlužují tuto válku. Děsím se chvíle, kdy opět spatřím Al'thunran - bude tam ještě něco kromě popela a zbořených zdí? Na místě, kde kdysi bývalo naše nádherné město?","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:522"
"Atlantis","Atlantida","After landing on a mysterious island close to Atlantis, the remaining Atlanteans struggle to make a new home for themselves.","Po přistání na tajemném ostrově blízko Atlantidy se zbývající Atlanťané snaží vybudovat pro sebe nový domov.","maps","../../data/campaigns/atl01.wmf/elemental:11"
"Atlantis","Atlantida","This story is taking place during the reign of King Askandor, the 43rd successor of King Ajanthul. He had been a good king, ruling Atlantis with wisdom and foresight. But with age, he became afraid of dying and so he began looking for a cure for death even though most clerics warned him against it. Some said that endless life was only for the gods and that to seek for it was forbidden.","Tento příběh začal během vlády krále Askandora, 43-tého potomka krále Ajanthula. Byl dobrým králem a vládl Atlantidě s moudrostí a prozíravostí. S přibývajícím věkem však přišel strach ze smrti a král, přestože jej mnozí kněží varovali, začal hledat lék proti smrti. Někteří říkali, že věčný život je vyhrazen samotným bohům a usilovat o něj je zapovězeno.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:150"
"Atlantis","Atlantida","But not even this changed the mind of the god. The water kept on rising. Nearly driven insane by guilt, pain and anger, Jundlina became a heretic: Secretly, she gathered people of the common folk who were not in line with the decision of the clerics to accept the god’s will. Together with them, she set the temple on fire and stole a ship to flee from the god’s influence over Atlantis. This small group started praying to Satul, the fire god and the worst enemy of Lutas.","Ale ani tento děsivý skutek nezměnil vůli boha a voda dál stoupala. Pološílená z pocitu viny, bolesti a hněvu, se Jundlina rozhodla pro kacířství: potají shromáždila obyčejné lidi, kteří vzdorovali rozhodnutí kněžského řádu pokorně přijmout vůli svého boha. Společně se svými lidmi zapálila chrám a ukradli loď, aby unikli na ní z Atlantidy před hněvem svého bývalého boha. Tato malá skupinka začala uctívat Satula, boha ohně, největšího nepřítele boha Lutase.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:172"
"Atlantis","Atlantida","Leaving the dying Atlantis and their past behind, they started on a quest to find a place sheltered by the fire and protected from the sea.","A tak zanechali umírající Atlantidu za sebou a vydali se na výpravu hledání nového útočiště, chráněného ohněm a bezpečného před vodou.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:174"
"Atlantis","Atlantida","We left Atlantis and sailed east. We entered the forbidden sea on the sixth day without noticing any pursuers from Atlantis and without Lutas having smashed our ship. Now, we are out of his reach. One day later, we sighted an island which seems to have one of these fire spitting mountains on it. I deemed this a sign from the fire god and we landed on its shore.","Opustili jsme Atlantidu a odpluli na východ. Šestého dne jsme vpluli do zakázaného moře, aniž bychom zaznamenali známky pronásledování a ani Lutas nám neroztříštil loď. Nyní jsme již mimo jeho dosah. O den později jsme na obzoru uviděli ostrov, který na kterém je jedna z těch hor chrlících oheň. Pokládám to za šťastné znamení od ohnivého boha, proto jsme se na ostrově vylodili.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:184"
"Atlantis","Atlantida","We spent the last week building two watchtowers on the mountains close to our landing area; and, of course, a hall for us all. We have very talented constructors in our group – still, the buildings do not match the art we had on Atlantis. I hope they will withstand the next rain. At least, the towers will warn us if a ship from Atlantis follows us and if the island is inhabited, we will see attackers a long time before they arrive.","Minulé dva týdny jsme strávili budováním dvou věží na hoře blízko místa kde jsme se vylodili a samozřejmě i sídla pro nás všechny. V naší skupině jsou velmi talentovaní stavitelé - přesto budovy zcela neodpovídají zpracování, na které jsme zvyklí z Atlantidy. Doufám, že přečkají příští déšť. Věže nás alespoň mohou varovat kdyby se blížila loď z Atlantidy, nebo je-li ostrov obydlený, uvidíme útočníky dlouho před tím, než k nám dorazí.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:187"
"Atlantis","Atlantida","May Satul warm you, Jundlina! I agree with what Loftomor proposes. We need a good supply of building materials for we have to expand our territory swiftly. I will not feel safe on this island as long as we have not seen all its shores. I brought plenty of good men from Atlantis. The military might is available. We only need some housing to live in.","Nechť vás Satul hřeje, Jundlino! Plně souhlasím s Loftomorovým návrhem. Potřebujeme zásobu stavebního materiálu, protože musíme rychle rozšiřovat svá území. Dokud neprozkoumáme celé pobřeží ostrova, nebudu se zde na ostrově cítit v bezpečí. Přivedl jsem z Atlantidy spoustu dobrých mužů. Vojenskou sílu máme k dispozici, jediné co potřebujeme, jsou budovy ve kterých budeme přebývat.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:209"
"Atlantis","Atlantida","May Satul warm you, Jundlina. My name is Opol, and I am the highest weaver of the guild abandoning Atlantis and Lutas with you. I come with sad news indeed: we have no more spidercloth. Not a single piece is to be found in our warehouses. Could you not help the weavers’ guild by arranging the building of a weaving mill and a spider farm? The spiders deliver the finest silk and we will produce the finest spidercloth from it.","Ať ti Satul požehná, Jundlino. Jmenuji se Opol a jsem vrchní tkadlec cechu, co opustil Atlantidu a Luta s tebou. Přicházím ale se smutnou zprávou: došla nám pavoučí látka. Ve skladišti už nemáme ani kousek. Možná by si mohla pomoci trochu tkalcovskému cechu a nechat postavit tkalcovnu a pavoučí farmu? Pavoucí předou to nejjemnější hedvábí a z něj umíme upříst tu nejjemnější látku.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:268"
