"glossary_term","glossary_translation","source","target","file","location"
"click","(an)klicken","To do so, place a flag up on the mountain’s flank to the east (on mountain terrain though, not mountain meadow). When you click on the new flag, you can send geologists there. Because the flag is on a mountain, the geologists will search for ores; otherwise, they would search for water. Then build a mine for both kinds of resources that they will find, choosing the appropriate mine to be built:","Platziere dazu eine Flagge auf dem Berg im Osten (nicht auf der Bergwiese). Wenn du auf die neue Flagge klickst, kannst du dort Geologen hinschicken. Da sich die Flagge auf einem Berg befindet, werden die Geologen nach Erzen suchen; ansonsten würden sie nach Wasser suchen. Baue anschließend eine Mine für beide Rohstofftypen, die gefunden werden. Wähle dabei die richtige Mine:","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:45"
"click","(an)klicken","A normal mine can only dig up about one third of all the resources that lie beneath it; then it must be enhanced to a deep mine in order to keep it working properly. To enhance a building, choose it and then click the appropriate button in the appearing window.","Eine normale Mine kann nur etwa ein Drittel aller Rohstoffe ausbeuten, die in ihrem Bereich liegen; danach muss sie zur Tiefen Mine ausgebaut werden, um weiter arbeiten zu können. Um ein Gebäude auszubauen, wähle es aus und klicke auf die entsprechende Schaltfläche im dann erscheinenden Fenster.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:91"
"click","(an)klicken","In order to call a geologist to search for water, click on a flag in the area that you want him to search and then on the button labeled ‘Send geologist to explore site’.","Um einen Geologen zu beauftragen, nach Wasser zu suchen, klicke auf eine Flagge in dem Gebiet, das er absuchen soll, und dann auf die Schaltfläche „Sende einen Geologen, um die Fläche zu untersuchen“.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:113"
"click","(an)klicken","To attack an enemy, you must click on the door of an adversary’s military building. A menu will pop up allowing you to select the number of soldiers that should attack. When you are ready with setting the number, click on the cross (‘Start Attack’).","Um einen Feind anzugreifen, musst du auf die Tür eines gegnerischen Militärgebäudes klicken. Dann öffnet sich ein neues Fenster, in dem du die Anzahl der Soldaten, die angreifen sollen, einstellen kannst. Wen du die Zahl eingestellt hast, klicke auf das Kreuz („Starte Angriff“).","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:141"
"click","(an)klicken","Remember that you can access the economy settings by clicking on any flag.","Denke daran, dass du die Wirtschaftseinstellungen durch Klicken auf irgendeine Flagge öffnen kannst.","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:78"
"click","(an)klicken","There you go. I will explain about all those symbols in a minute. First, let me show you how to make a lumberjack’s hut and how to connect it with a road. There is a sweet spot for a lumberjack right next to those trees. I’ll describe the steps I will take and then ask you to click on the ‘OK’ button for me to demonstrate.","Na bitte. Ich werde diese Symbole gleich etwas näher erklären. Zuerst lass mich dir zeigen, wie man eine Holzfällerhütte erstellt und wie man sie mit einer Straße verbindet. Es gibt einen für einen Holzfäller passenden Ort gleich neben diesen Bäumen. Ich werde die Schritte, die ich durchführe, beschreiben und dich dann bitten, auf „OK“ zu klicken, damit ich es dir vorführen kann.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:65"
"click","(an)klicken","First, I’ll left-click on the symbol where I want the lumberjack’s hut to be built. A window will appear where I can choose between buildings. Because I’ll click a yellow house symbol – which means that its field can house medium and small buildings – I am presented with all the medium buildings that I can build. The lumberjack’s hut is a small building, so I will go on to select the small buildings tab. Then I’ll choose the lumberjack’s hut.","Zuerst klicke ich mit der linken Maustaste auf das Symbol, wo ich die Holzfällerhütte gebaut haben will. Ein Fenster wird erscheinen, in dem ich das zu errichtende Gebäude auswählen kann. Da ich auf ein gelbes Haussymbol klicken werde – was bedeutet, dass auf diesem Feld kleine und mittlere Gebäude stehen können – bekomme ich alle mittleren Gebäude angezeigt, die ich bauen kann. Die Holzfällerhütte ist ein kleines Gebäude, weshalb ich den Reiter „kleine Gebäude“ anklicke. Dann wähle ich die Holzfällerhütte.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:75"
"click","(an)klicken","Click the ‘OK’ button to watch me. I’ll go really slowly: I will click – then select the tab – and finally I’ll choose the building.","Klicke auf „OK“ und schaue mir zu. Ich mache es schön langsam: Ich klicke – wähle den Reiter – und wähle zum Schluss das Gebäude.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:76"
"click","(an)klicken","That won’t do yet. I still need to connect the lumberjack’s hut to the rest of my road network. After ordering the construction site, I was automatically put into road building mode, so all I have to do is click on the blue flag in front of my headquarters.","Das reicht noch nicht. Ich muss die Holzfällerhütte noch mit dem Straßennetz verbinden. Nachdem ich die Baustelle in Auftrag gegeben habe, bin ich sofort im Straßenbaumodus, sodass ich nur auf die blaue Flagge vor dem Hauptquartier klicken muss.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:85"
"click","(an)klicken","That won’t do yet. I still need to connect the lumberjack’s hut to the rest of my road network. You have disabled the option ‘Start building road after placing a flag’ (to change that, choose ‘Options’ in the Widelands main menu). Therefore, I have entered the road building mode manually. I will tell you later how to do that. To build the road, all I have to do now is click on the blue flag in front of my headquarters.","Das reicht noch nicht. Ich muss die Holzfällerhütte mit dem Straßennetz verbinden. Du hast die Option „Beginne mit dem Straßenbau nach dem Flaggensetzen“ deaktiviert (um das zu ändern, gehe zu den „Optionen“ im Hauptmenü von Widelands). Daher habe ich manuell in den Straßenbaumodus gewechselt. Ich werde dir später erklären, wie das geht. Um die Straße zu bauen, muss ich jetzt nur auf die blaue Flagge vor meinem Hauptquartier klicken.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:96"
