"glossary_term","glossary_translation","source","target","file","location"
"Horse","Άλογο","Breeds the strong Atlantean horses for adding them to the transportation system.","Εκτρέφει τα δυνατά Ατλαντικά άλογα, για προσθήκη στο μεταφορικό σύστημα.","tribes_encyclopedia","../../data/tribes/buildings/productionsites/atlanteans/horsefarm/helptexts.lua:16"
"Horse","Άλογο","Breeds the strong Atlantean horses for adding them to the transportation system.","Εκτρέφει τα δυνατά Ατλαντικά άλογα, για προσθήκη στο μεταφορικό σύστημα.","tribes_encyclopedia","../../data/tribes/workers/atlanteans/horsebreeder/helptexts.lua:3"
"Defense","Άμυνα","The attributes are: health, attack, defense and evade.","Οι ιδιότητες είναι: υγεία, επίθεση, άμυνα, και αποφυγή.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:116"
"Defense","Άμυνα","upgrading soldier defense from level 0 to level 1","αναβαθμίζει άμυνα στρατιώτη από το επίπεδο 0 στο επίπεδο 1","tribes","../../data/tribes/buildings/trainingsites/atlanteans/labyrinth/init.lua:100"
"Defense","Άμυνα","upgrading soldier defense from level 1 to level 2","αναβαθμίζει άμυνα στρατιώτη από το επίπεδο 1 στο επίπεδο 2","tribes","../../data/tribes/buildings/trainingsites/atlanteans/labyrinth/init.lua:111"
"Defense","Άμυνα","upgrading soldier defense from level 1 to level 2","αναβαθμίζει άμυνα στρατιώτη από το επίπεδο 1 στο επίπεδο 2","tribes","../../data/tribes/buildings/trainingsites/frisians/training_arena/init.lua:155"
"Defense","Άμυνα","upgrading soldier defense from level 0 to level 1","αναβαθμίζει άμυνα στρατιώτη από το επίπεδο 0 στο επίπεδο 1","tribes","../../data/tribes/buildings/trainingsites/frisians/training_camp/init.lua:169"
"Coal","Άνθρακας","Build coal and iron mines","Φτιάξτε ορυχεία άνθρακα και σιδήρου","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:43"
"Coal","Άνθρακας","Build a lime kiln and coal economy","Φτιάξτε μία ασβεστοκάμινο και οικονομία άνθρακα","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:108"
"Coal","Άνθρακας","Better buildings may also require other improved materials besides blackwood. One of these is grout, which is produced out of granite, water and coal by a lime-burner.","Τα καλύτερα κτίρια μπορεί εκτός από πυρόξυλα να απαιτούν και άλλα βελτιωμένα υλικά. Ένα από αυτά είναι το τσιμέντο, το οποίο παράγεται από έναν ασβεστοποιό, με γρανίτη, νερό και άνθρακα.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:111"
"Coal","Άνθρακας","Build a lime kiln and a well. Additionally, build either a charcoal kiln or a coal mine for coal supply.","Φτιάξτε μία ασβεστοκάμινο και ένα πηγάδι. Επιπρόσθετα, για εφοδιασμό με άνθρακα, φτιάξτε είτε ένα ανθρακωρυχείο, είτε μια κάμινο ξυλάνθρακα.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:115"
"Coal","Άνθρακας","By Chat’Karuth’s beard, this is amazing! Just imagine what we can use this coal and iron ore for!","Μα τα γένια του Τσατ'Καρούθ, αυτό είναι καταπληκτικό! Φαντάσου σε τι θα μπορούσαμε να χρησιμοποιήσουμε αυτόν τον άνθρακα και το μετάλλευμα σιδήρου.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:354"
"Coal","Άνθρακας","So now that we have both the mines and the food to sustain them, we should bring what our brave miners gain for us into a more useful state. The iron ore has to be melted into iron so that it is ready to be forged into whatever we want. And we need the coal to keep the smelter’s ovens burning.","Λοιπόν, τώρα που έχουμε τόσο τα ορυχεία όσο και το φαγητό για να τα διατηρήσουμε, πρέπει αυτά που οι μεταλλωρύχοι μας έδρεψαν για μας να τα μετατρέψουμε σε μια πιο χρήσιμη κατάσταση. Το μετάλλευμα σιδήρου πρέπει να λιώσει σε σίδηρο, ώστε να είναι έτοιμο για σφυρηλάτηση σε οτιδήποτε θέλουμε. Και χρειαζόμαστε τον άνθρακα να διατηρήσει αναμμένους τους φούρνους των χυτευτών.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:421"
"Coal","Άνθρακας","Expand your territory to the mountains, send geologists to search for ore and coal and build a mining economy with mines, taverns, smelting works and metal workshop.","Επεκτείνετε την επικράτειά σας στα βουνά, στείλτε γεωλόγους να αναζητήσουν ορυκτά και άνθρακα, και δημιουργήστε μια εξορυκτική οικονομία, με ορυχεία, ταβέρνες, χυτήριο και μεταλλουργείο.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:76"
