"glossary_term","glossary_translation","source","target","file","location"
"delete","delete","Confirm Deleting File","Confirm Deleting File","widelands","../../src/wui/load_or_save_game.cc:266"
"delete","delete","Confirm Deleting Files","Confirm Deleting Files","widelands","../../src/wui/load_or_save_game.cc:266"
"dismantle","dismantle","I strongly recommend dismantling most of them to be able to build industrial buildings. I don’t think there is much danger on this island, but if you want to be cautious, you can keep some sentries or blockhouses near the coastline.","I strongly recommend dismantling most of them to be able to build industrial buildings. I don’t think there is much danger on this island, but if you want to be cautious, you can keep some sentries or blockhouses near the coastline.","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:500"
"dismantle","dismantle","Therefore I took the freedom to restrict our current building options to the lumberjack’s house until we have gained enough building materials by dismantling the ineffective buildings.","Therefore I took the freedom to restrict our current building options to the woodcutter’s house until we have gained enough building materials by dismantling the ineffective buildings.","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:557"
"dismantle","dismantle","There are two different ways of destroying a building: burning down and dismantling. Try them both out on your quarries.","There are two different ways of destroying a building: burning down and dismantling. Try them both out on your quarries.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:438"
"dismantle","dismantle","This coal mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider dismantling or destroying it.","This coal mine’s main seam is exhausted. Expect strongly diminished returns on investment. You should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/atlanteans/coalmine/init.lua:80"
"dismantle","dismantle","This crystal mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider dismantling or destroying it.","This crystal mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/atlanteans/crystalmine/init.lua:132"
"dismantle","dismantle","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider dismantling or destroying it.","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/atlanteans/goldmine/init.lua:80"
"dismantle","dismantle","This iron mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider dismantling or destroying it.","This iron mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/atlanteans/ironmine/init.lua:80"
"dismantle","dismantle","The woodcutter working at this woodcutter’s house can’t find any trees in his work area. You should consider dismantling or destroying the building or building a forester’s house.","The woodcutter working at this woodcutter’s house can’t find any trees in his work area. You should consider dismantling or destroying the building or building a forester’s house.","tribes","../../data/tribes/buildings/productionsites/atlanteans/woodcutters_house/init.lua:54"
"dismantle","dismantle","This coal mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","This coal mine’s main seam is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/barbarians/coalmine/init.lua:77 ../../data/tribes/buildings/productionsites/barbarians/coalmine_deep/init.lua:80"
"dismantle","dismantle","This coal mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","This coal mine's main seam is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/barbarians/coalmine_deeper/init.lua:79"
"dismantle","dismantle","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/barbarians/goldmine/init.lua:77 ../../data/tribes/buildings/productionsites/barbarians/goldmine_deep/init.lua:80"
"dismantle","dismantle","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/barbarians/goldmine_deeper/init.lua:79"
"dismantle","dismantle","This granite mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","This granite mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/barbarians/granitemine/init.lua:75"
"dismantle","dismantle","This iron mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","This iron mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/barbarians/ironmine/init.lua:77 ../../data/tribes/buildings/productionsites/barbarians/ironmine_deep/init.lua:80"
"dismantle","dismantle","This iron mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","This iron mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/barbarians/ironmine_deeper/init.lua:82"
"dismantle","dismantle","The lumberjack working at this lumberjack’s hut can’t find any trees in his work area. You should consider dismantling or destroying the building or building a ranger’s hut.","The woodcutter working at this woodcutter’s hut can’t find any trees in his work area. You should consider dismantling or destroying the building or building a ranger’s hut.","tribes","../../data/tribes/buildings/productionsites/barbarians/lumberjacks_hut/init.lua:61"
"dismantle","dismantle","This coal mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","This coal mine's main seam is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/empire/coalmine/init.lua:78"
"dismantle","dismantle","This coal mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","This coal mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/empire/coalmine_deep/init.lua:76"
"dismantle","dismantle","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. You should consider enhancing, dismantling or destroying it.","tribes","../../data/tribes/buildings/productionsites/empire/goldmine/init.lua:78"
