"glossary_term","glossary_translation","source","target","file","location"
"map","mapo","Show original map names","Montri map-nomojn originajn","widelands","../../src/ui_fsmenu/mapselect.cc:83"
"mine","mieno","This coal mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","La ĉef-vejno de tiu ĉi karb-minejo estas elĉerpita. Atendu malaltegan bilancon! Tiu minejo ne pliprofundigeblas, do eble estus pli bone malkonstrui aŭ detrui ĝin.","tribes","../../data/tribes/buildings/productionsites/barbarians/coalmine_deeper/init.lua:87"
"mine","mieno","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","La ĉefa vejno de tiu ĉi or-minejo estas elĉerpita. Atendu malaltegan bilancon! Tiu minejo ne pliprofundigeblas, do eble estus pli bone malkonstrui aŭ detrui ĝin.","tribes","../../data/tribes/buildings/productionsites/barbarians/goldmine_deeper/init.lua:86"
"mine","mieno","This granite mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","La ĉef-vejno de tiu ĉi granit-minejo estas elĉerpita. Atendu malaltegan bilancon! Tiu minejo ne pliprofundigeblas, do eble estus pli bone malkonstrui aŭ detrui ĝin.","tribes","../../data/tribes/buildings/productionsites/barbarians/granitemine/init.lua:93"
"mine","mieno","This iron mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","La ĉef-vejno de tiu ĉi fer-minejo estas elĉerpita. Atendu malaltegan bilancon! Tiu minejo ne pliprofundigeblas, do eble estus pli bone malkonstrui aŭ detrui ĝin.","tribes","../../data/tribes/buildings/productionsites/barbarians/ironmine_deeper/init.lua:87"
"mine","mieno","This coal mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","La ĉef-vejno de tiu ĉi karb-minejo estas elĉerpita. Atendu malaltegan bilancon! Tiu minejo ne pliprofundigeblas, do eble estus pli bone malkonstrui aŭ detrui ĝin.","tribes","../../data/tribes/buildings/productionsites/empire/coalmine_deep/init.lua:86"
"mine","mieno","This gold mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","La ĉef-vejno de tiu ĉi or-minejo estas elĉerpita. Atendu malaltegan bilancon! Tiu minejo ne pliprofundigeblas, do eble estus pli bone malkonstrui aŭ detrui ĝin.","tribes","../../data/tribes/buildings/productionsites/empire/goldmine_deep/init.lua:84"
"mine","mieno","This iron mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","La ĉef-vejno de tiu ĉi fer-minejo estas elĉerpita. Atendu malaltegan bilancon! Tiu minejo ne pliprofundigeblas, do eble estus pli bone malkonstrui aŭ detrui ĝin.","tribes","../../data/tribes/buildings/productionsites/empire/ironmine_deep/init.lua:85"
"mine","mieno","This marble mine’s main vein is exhausted. Expect strongly diminished returns on investment. This mine can’t be enhanced any further, so you should consider dismantling or destroying it.","La ĉef-vejno de tiu ĉi marmor-minejo estas elĉerpita. Atendu malaltegan bilancon! Tiu minejo ne pliprofundigeblas, do eble estus pli bone malkonstrui aŭ detrui ĝin.","tribes","../../data/tribes/buildings/productionsites/empire/marblemine_deep/init.lua:94"
"team","teamo; skipo","Search for ancient artifacts. Once all of them are found, the team who owns most of them will win the game.","Serĉado je antikvaj artefaktoj. Kiam ĉiuj da ili estos trovita, la skipo venkos, kiu posedas la plejparton.","win_conditions","../../data/scripting/win_conditions/artifacts.lua:17"
"team","teamo; skipo","Your team found a new artifact.","Via skipo trovis novan artefakton.","win_conditions","../../data/scripting/win_conditions/artifacts.lua:84"
"quarry","ŝtonminejo; Ŝton-minejo","Connect the quarry to the headquarters","Konekti la ŝtonminon al via sidejo","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:374"
"quarry","ŝtonminejo; Ŝton-minejo","The stonecutter working at this quarry can’t find any rocks in his work area.","La ŝton-tajlisto, kiu laboras ĉe tiu ĉi ŝton-minejo, ne povas trovi ŝtonojn en sia labor-regiono.","tribes","../../data/tribes/buildings/productionsites/atlanteans/quarry/init.lua:47"
"quarry","ŝtonminejo; Ŝton-minejo","The stonemason working at this quarry can’t find any rocks in his work area.","La ŝton-hakisto, kiu laboras ĉe tiu ŝton-minejo, ne povas trovi ŝtonojn ĉe sia laborejo.","tribes","../../data/tribes/buildings/productionsites/barbarians/quarry/init.lua:58"
"quarry","ŝtonminejo; Ŝton-minejo","The stonemason working at this quarry can’t find any rocks in his work area.","La ŝton-hakisto, kiu laboras ĉe tiu ŝton-minejo, ne povas trovi ŝtonojn ĉe sia laborejo.","tribes","../../data/tribes/buildings/productionsites/empire/quarry/init.lua:71"
