"glossary_term","glossary_translation","source","target","file","location"
"Ranger","Agente Forestal","Barbarian lumberjacks fell the trees; rangers take care of the supply of trees. Logs are also used in the metal workshop to build basic tools, and in the charcoal kiln for the production of coal. The wood hardener refines logs into blackwood by hardening them with fire.","Los leñadores tiran abajo los árboles; los agentes forestales cuidan el suministro de árboles. Los troncos además son usados en el taller de metal para construir herramientas básicas, y en la fosa de carbonización para producir carbón. El endurecedor de madera refina los troncos en vigas endureciéndolos con fuego.","tribes_encyclopedia","../../data/tribes/wares/log/helptexts.lua:8"
"Water","Agua","The fisher’s house needs water full of fish within the work area.","La cantera necesita rocas que tallar en el área de trabajo.","tribes_encyclopedia","../../data/tribes/buildings/productionsites/atlanteans/fishers_house/helptexts.lua:21"
"Water","Agua","The fisher’s house needs water full of fish within the work area.","La cantera necesita rocas que tallar en el área de trabajo.","tribes_encyclopedia","../../data/tribes/buildings/productionsites/empire/fishers_house/helptexts.lua:21"
"Smokery","Ahumadero","Build two smokeries to smoke raw meat and fish","Construye dos ahumadores para ahumar carne y pescado crudo.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:66"
"Warehouse","Almacén","Swift now, we need a house for Ostur next to the lake, and we need planks, logs and spidercloth for the construction there. Forget about everything else, we need those wares on top of the mountain before our warehouses are all swallowed by the sea.","Rápido, necesitamos una casa para Ostur cerca del lago, y necesitamos tablas, troncos y tela de araña para su construcción. Olvídense de cualquier otra cosa, necesitamos esas mercancías en lo alto de la montaña antes de que nuestros almacenes queden bajo agua.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:464"
"Warehouse","Almacén","Warehouses are similar to your headquarters, with the only difference that they aren’t defended by soldiers. It is often wise to build a warehouse when your territory is growing and the paths to your headquarters get longer and longer.","Los almacenes son similares a tu cuartel general, con la única diferencia de que no son defendidos por soldados. Es sabio a veces construir almacenes cuando tu territorio crece y sus caminos hacia el cuartel general son más largos.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:105"
"Warehouse","Almacén","You will usually start the game with one headquarters. This is the big building with the blue flag in front of it. The headquarters is a warehouse that stores wares, workers and soldiers. Some wares are needed for building houses, others for making other wares. Obviously, the wares in the headquarters will not last forever, so you must make sure to replace them. The most important wares in the early game are the basic construction wares: logs and granite. Let’s make sure that we do not run out of logs. For this, we need a lumberjack and a hut for him to stay in.","Por lo general, inicias el juego con una sede. Es el gran edificio con la bandera azul en frente. La sede es una bodega que almacena mercancías, trabajadores y soldados. Se necesitan algunas mercancías para la construcción de casas, otras para fabricar otras mercancías. Obviamente, las mercancías en la sede no durarán para siempre, por lo que debes asegurarte de reponerlas. Las mercancías más importantes al principio del juego son las mercancías básicas de construcción: troncos y piedra en bruto. Vamos a asegurarnos de que no nos quedemos sin troncos. Para esto, necesitamos un leñador y una cabaña para que viva en ella.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:41"
"Warehouse","Almacén","Although ports act as warehouses, you should not build more than necessary: they cost quartz, diamonds and gold, which makes them quite expensive.","Aunque los puertos actúan como almacenes no deberías construir más de los necesarios: cuestan cuarzo, diamantes y oro, lo que los hace bastante costosos.","scenario_tutorial03_seafaring.wmf","../../data/campaigns/tutorial03_seafaring.wmf/scripting/texts.lua:75"
"Warehouse","Almacén","The third tab shows you the wares that are stored in your headquarters, your warehouses and ports. They are not needed anywhere and are therefore your reserve.","La tercera pestaña te muestra las mercancías que están almacenadas en tu sede, tus almacenes y tus puertos. No se necesitan en ninguna parte y por tanto son tus reservas.","scenario_tutorial04_economy.wmf","../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:158"
"Warehouse","Almacén","I’ve shown you our stock menu window, where you could see which wares are at the warehouses. You remember?","Te he mostrado la ventana de existencias, donde podías ver qué mercancías están en los almacenes. ¿Recuerdas?","scenario_tutorial04_economy.wmf","../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:398"
