"glossary_term","glossary_translation","source","target","file","location"
"recruit","Alokas","We offer to also produce the tabards for young soldiers and the golden tabards for officers for you in exchange. You will need them for sure as soon as you want to recruit new soldiers.","Tarjoudumme vaihtokaupassa tuottamaan sinulle myös taisteluasuja nuorille sotilaille ja kultaisia taisteluasuja upseereille. Tulet varmasti tarvitsemaan niitä sitten kun haluat palkata uusia sotilaita.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:269"
"recruit","Alokas","I am really worried about the weakness of our army. We should start to increase our military power. As a starting point, we should recruit at least ten new soldiers.","Olen todella huolestunut armeijamme heikkoudesta. Meidän pitäisi alkaa kasvattamaan meidän sotilasvoimaa. Aluksi meidän pitäisi palkata ainakin kymmenen uutta sotilasta.","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:674"
"recruit","Alokas","Expanding would also provide more space for farming. We could use some extra barley to recruit more reindeer, as our roads are quite busy.","Laajentaminen tarjoaisi myös enemmä tilaa maanviljelyyn. Voisimme käyttä ylimääräisen ohran porojen hommaamiseen, koska tiemme ovat aika kovassa käytössä.","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:285"
"recruit","Alokas","Look up which wares are needed to recruit soldiers","Katso mitä tuotteita tarvitaan sotilaiden palkkaamiseen.","scenario_tutorial04_economy.wmf","../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:266 ../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:268"
"recruit","Alokas","You have closed the encyclopedia window, but I didn’t notice that you were trying to find out which wares are needed to recruit a soldier. Would you please reopen it and do so?","Olet sulkenut opasruudun, mutta en huomannut, että yrititkö katsoa mitä tuotteita sotilaan palkkamiseen tarvitaan. Avaisitko opasruudun uudelleen?","scenario_tutorial04_economy.wmf","../../data/campaigns/tutorial04_economy.wmf/scripting/texts.lua:297"
"recruit","Alokas","The initiation site needs %s on average to recruit one soldier.","Aloituspaikka tarvitsee keskimäärin %s yhden sotilaan värväämiseen.","tribes_encyclopedia","../../data/tribes/initialization/amazons/units.lua:1446"
"recruit","Alokas","The barracks needs %s on average to recruit one soldier.","Kasarmi tarvitsee keskimäärin %s sotilaan rekrytointiin.","tribes_encyclopedia","../../data/tribes/initialization/frisians/units.lua:1948"
"War Mill","Asetehdas","Enhance your metal workshop to an ax workshop in order to produce weapons, and build up a second metal workshop to ensure the production of tools. When the blacksmith reaches his next level (master blacksmith), you can even enhance the ax workshop to a war mill, which will produce additional weapons.","Laajenna metallipajasi kirvespajaksi tuottaaksesi aseita ja rakenna toinen metallipaja varmistaaksesi työkalujen tuotannon. Kun seppä saavuttaa seuraavan tasonsa (seppämestari), voit jopa laajentaa kirvespajan asetehtaaksi, joka tuottaa lisää erityyppisiä aseita.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:92 ../../data/campaigns/bar02.wmf/scripting/texts.lua:122"
"War Mill","Asetehdas","It is produced by the smelting works and used to produce weapons and tools in the metal workshop, ax workshop, war mill and helm smithy.","Sitä tuotetaan sulattoissa ja käytetään aseisiin ja työkaluihin metallipajassa, kirvespajassa. asetehtaassa ja kypäräpajassa.","tribes_encyclopedia","../../data/tribes/initialization/barbarians/units.lua:295"
"War Mill","Asetehdas","The broad ax is produced by the ax workshop and the war mill. It is used in the training camp – together with food – to train soldiers with a fundamental fighting knowledge from attack level 1 to attack level 2.","Leveää kirves tuotetaan kirvespajassa ja asetehtaassa. Sitä käytetään harjoitusleirillä – ruuan kanssa – kouluttamaan sotilaita perustaistelutaitoa tasolta 1 tasolle 2.","tribes_encyclopedia","../../data/tribes/initialization/barbarians/units.lua:477"
