"glossary_term","glossary_translation","source","target","file","location"
"Al’thunran","Al’thunran","When Chat’Karuth died, he was an old man, father to three strong and ambitious sons, and warlord to an army that could match any enemy willing to rise against the ancient forests. Though at the end of his glorious reign, Chat’Karuth chose his eldest son, Thron, to succeed him as the tribe’s warlord – a decision that left his two brothers unsatisfied. The old warlord knew that. As his father instructed him, Thron left the capital of Al’thunran, the home of the Throne Among the Trees, and withdrew his forces to the high hills where he buried the corpse of his father. There he swore to the gods and his father’s spirit that he’d return to re-established order. While his brothers have raged blind war against Thron and the few forces he left to secure the borders of Al’thunran, the young warlord seeks to reunite his ambitious brothers and force the tribes to march once again under a common banner.","Lorsque Chat'Karuth est mort, c'était un vieil homme, père de trois fils forts et ambitieux, et chef de guerre d'une armée qui pourrait s'opposer à un ennemi prêt à se soulever contre les forêts anciennes. Bien qu'à la fin de son règne glorieux, Chat'Karuth ait choisi son fils aîné, Thron, pour lui succéder comme chef de guerre de la tribu – cette décision a laissé ses deux frères insatisfait. L'ancien chef de guerre le savait. Comme son père lui a demandé, Thron quitta la capitale de Al'thunran, la maison du Trône entre les arbres, et retira ses forces sur les hautes collines où il enterra le corps de son père. Il jura aux dieux et à l'esprit de son père qu'il reviendrait pour rétablir l'ordre. Tandis que ses frères ont engagé une guerre aveugle contre Thron et les quelques forces qu'il a laissé pour sécuriser les frontières de Al'thunran, le jeune chef de guerre cherche à réunir ses frères ambitieux et forcer les tribus à marcher une fois de plus sous une bannière commune.","maps","../../data/campaigns/campaigns.lua:52"
"Al’thunran","Al’thunran","We can see the raging flames that swallow Al’thunran from here, miles away.","Nous pouvons voir les brasiers dévorant Al'thunran, à des lieues d'ici.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:156"
"Al’thunran","Al’thunran","So you want to prepare us for a longer stay in these forests, Thron? Well, I see the wisdom in doing so, yet my heart is yearning for a glorious return to Al’thunran. Too long have we waited while our brethren have fought on the battlefield, and our axes and swords have turned rusty over time.","Alors tu veux nous préparer pour un plus long séjour dans ces forêts, Thron ? Bien, je vois la sagesse en faisant cela, mais mon cœur aspire à un retour glorieux vers Al'thunran. Nous avons attendus trop longtemps alors que nous frères combattaient sur le champ de bataille, et nos haches et nos épées sont devenues rouillées avec le temps.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:302"
"Al’thunran","Al’thunran","When I gazed at the horizon, I still saw crimson lights flicker in the distance. It is incredible with how much passion my brethren fight this war. I fear the moment I will see Al’thunran again – will there be anything but ashes and wasted ruins left of our once beautiful capital when we get there?","J'ai promené mon regard sur l'horizon, et j'ai vu les lueurs rouges danser au loin. C'est incroyable cette hardeur avec laquelle mes frères se font la guerre. Je redoute le moment de revoir Al'thunran. Quand nous y parviendrons, restera-t-il autre chose que des cendres et des ruines de ce qui fut notre belle capitale ?","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:508"
"Al’thunran","Al’thunran","But they fear that the war around Al’thunran will set an end to this life. Therefore, they have decided to join us, hoping that we can help each other.","Mais ils ont eu peur que la guerre autour d'Al'thunran ne mette un terme à cette vie. Aussi, ils ont décidé de nous rejoindre, dans l'espoir que nous puissions nous entraider.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:534"
"Al’thunran","Al’thunran","The news that a patrol brought is not good to hear. Our spies tell us that the war tribes still rage in battle, but some of the elder soldiers and tribe leaders seem to grow tired of this senseless war. Kalitath, son of Kun is the first war leader to leave Al’thunran, thus leaving his side weak and vulnerable. As my scouts report, he has set foot on the lower grounds around the capital, securing the outer fortification rings.","Les nouvelles rapportées par une patrouille ne sont pas bonnes à entendre. Nos espions nous indiquent que les guerres tribales sévissent toujours, mais certains parmi les vieux soldats et chefs semblent en avoir assez de ce conflit insensé. Kalitath, le fils de Kun, est le premier chef de guerre à quitter Al'thunran, laissant son flanc faible et vulnérable. Mes éclaireurs rapportent qu'il a posé le pied dans les basses terres autour de la capitale, sécurisant l'anneau de fortifications extérieur.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:170"
"Al’thunran","Al’thunran","Thron seeks to believe that Kalitath is tired of fighting and would be willing to join us once we march to re-establish law and order in Al’thunran. But I don’t think so. Kalitath is son to one of the mightiest generals of our forces and his family never quite liked the thought of bowing before the banner of Chat’Karuth. Why should he march with Chat’Karuth’s son to reclaim his heritage and the throne?","Thron cherche à croire que Kalitath est fatigué de se battre et souhaiterai se joindre à nous, une fois que nous viendrons rétablir la loi et l'ordre à Al'thunran. Mais je ne le crois pas. Kalitath est le fils d'un des plus puissants généraux de nos forces, et sa famille n'a jamais aimé l'idée de rendre hommage et allégeance à la bannière de Chat'Karuth. Pourquoi marcherait-il avec son fils, pour réclamer son héritage et le trône ?","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:178"
"Al’thunran","Al’thunran","The frontier line of my forces has expanded to the edge of the forests. We have a long and cold winter and so many miles behind us. The fortification that we erected around Ondun will guarantee us a fast supply of men and goods, and once Al’thunran is in my hands, the two cities will be linked by a good and defensible infrastructure. Still, I hope I will not walk alone on this mission, I hope Kalitath son of Kun will follow my call.","La ligne de front s'est étendue jusqu'à l'orée des forêts. Nous avons passé un long et froid hiver, et marché tant de lieues. Les remparts que nous avons bâtis autour d'Ondun nous garantissent un approvisionnement rapide en homme et en matériel, et une fois Al'thunran entre mes mains, les deux cités seront reliées par une infrastructure saine et aisée à défendre. J'espère cependant que je ne serai pas seul dans cette mission, j'espère que Kalitath, fils de Kun, répondra à mon appel.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:194"
"Al’thunran","Al’thunran","I have sent men to meet with Kalitath in his fortress. He has barricaded the former main entrance to the capital and is trying to set up a siege ring around Al’thunran. He will not let anyone enter or leave the city while the ring is intact. Until now, he has not answered any of my messages. But the time I spend waiting won’t be lost. I will train my soldiers further and prepare for battle.","J'ai envoyé des hommes rencontrer Kalitah dans sa forteresse. Il a condamné l'entrée principale de la capitale et essaye d'ériger un siège autours d' Al'thunran. Il ne laissera personne entrer ni sortir de la ville tant que le siège restera intact. Jusqu'à maintenant, il n'a répondu à aucun de mes messages. Mais le temps que j'ai passé à attendre ne sera pas perdu. J'entrainerais plus mes soldats et les préparerais pour la bataille.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:202"
"Al’thunran","Al’thunran","The first fortification Thron ordered has just been completed. At the moment, he seeks to bring trust and belief to those who live inside the walls of our new habitat that we named ‘Ondun’, which means ‘those who wait’ in the old tongue. But Thron is not yet satisfied – and I fully understand his fears: the forests are deep, and the frontier to Al’thunran is near. I am sure that there are a thousand greater dangers out there than the unknown tracks.","La première fortification ordonnée par Thron vient juste d'être terminée. Pour le moment, il cherche à ramener confiance et foi à ceux qui vivent à l'intérieur des murs de notre nouvel habitat que nous avons nommé « Ondun », qui veut dire « ceux qui attendent » en langue ancienne. Mais Thron n'est pas encore satisfait – et je comprends entièrement ses craintes : les forêts sont profondes, et la frontière vers Al'Thunran est proche. Je suis sûr qu'il y a là-bas des milliers de dangers bien plus grand que ceux des pistes inconnues.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:269"
