"glossary_term","glossary_translation","source","target","file","location"
"Military","An airm","Defeat Erwyn. He commands the strongest opposing military force left on this island.","Cuir ruaig air Erwyn. Tha am feachd as treasa fo a smachd a tha air fhàgail air an eilean seo.","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:38"
"Military","An airm","We found one more building of this strange making. We have yet to see any of its builders. But obviously there has been a community on this island before and obviously it was militarized. I have to check on our military status with my generals. I will not allow that a potential enemy will find us unprepared.","Lorg sinn fear eile de na togalaichean neònach ud. Chan eil sgeul air na daoine a thog iad fhathast. Ach bha coimhearsnachd san eilean seo roimhe gun teagamh agus tha e follaiseach gun robh feachd aca. Feumaidh mi bruidhinn ris na cinn-armailt agam a thaobh cor an fheachd againn. Cha cheadaich mi gun dig nàmhaid oirnn ma dh’fhaoidte is sinn gun uallachadh.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:404"
"Military","An airm","Sire, we do not know anything about the island. And I believe we are not safe either. It would probably be reasonable to build a tower to explore the island and add some military strength.","A thighearna, tha sinn gu tur aineolach mun eilean seo. Agus saoilidh mi nach eil sinn sàbhailte idir. Bhiodh e gu feum dhuinn gun teagamh nan togamaid tùr gus an t-eilean a rùrachadh agus an arm againn a neartachadh.","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:232"
"Military","An airm","Sire, Amalea is right about the resources. Therefore I correct myself. We should only build an outpost as this is the most effective military building.","A thighearna, tha Amalea ceart a thaobh nan stòrasan. Mar sin, mholainn rud eile dhuibh. Cha bu chòir dhuinn togail ach gearastan on as e an togalach as èifeachdaiche a th’ ann dhan arm.","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:251"
"Military","An airm","Your soldiers will leave the fortress while the construction is going on. This means that your fortress will lose its military influence, as I described above.","Fàgaidh na saighdearan agad an dùn fad ’s a tha an togail a’ dol air adhart. Is ciall dha seo gun caill an dùn a bhuaidh air an ranntair mar a mhìnich mi gu h-àrd.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:182"
"Military","An airm","This wooden spear is the basic weapon in the Empire military system. It is produced in the weapon smithy. In combination with a helmet, it is the equipment to fit out young soldiers.","’S e an t-arm bunasach ann an siostam arm na h-Impireachd a th’ anns an t-sleagh fiodha. Thèid a shaothrachadh ann an ceàrdach arm. Beiridh gach saighdear òg tè is clogaid.","tribes_encyclopedia","../../data/tribes/wares/spear_wooden/helptexts.lua:4"
"Military","An airm","This is the most dangerous weapon of the Atlantean military. Only the best of the best soldiers may use it. It is produced in the weapon smithy and used in the dungeon – together with food – to train soldiers from attack level 3 to level 4.","Seo an t-arm as cunnartaiche aig feachd nan Atlantach. Chan fhaod ach fìor-ghaisgich a chleachdadh. Saothraichidh tu sa cheàrdach arm i is thèid a cleachdadh san toll-dubh – le biadh – gus ionnsaigh nan saighdearan oideachadh o leibheil 3 gu leibheil 4.","tribes_encyclopedia","../../data/tribes/wares/trident_heavy_double/helptexts.lua:4"
"back","air ais","Some say that impenetrable lands to the far north scared away even the most courageous settlers and the bravest of the brave warriors. Big and old forests, full of big and predatory game, cut across by wetlands and hills were shrouded in mystery. The ones who had managed to come back mentioned tremendous buildings, decorated with carvings and gold from majestic mountain ranges somewhere amongst the wilderness. Dozens of years after only some crumbly ruins remain of these good old times, covered with moss and trees. Their shapes give only an idea about the craftsmanship of ancient constructors. Nobody knows why they (have) disappeared. Nobody knows why. People say that now nothing is blocking the road to wealth. But many will die pulled apart by wolves, engulfed by swamp… encircled by hostile tribes.","Tha cuid ag ràdh gun do chum an tìr dho-inntrig fada tuath fiù ’s an luchd-tuineachaidh ’s na gaisgich as dàna air falbh. ’S e seann choilltean mòra dìomhair a bh’ ann làn bheathaichean sealgair mòra eadar talamh fliuch ’s cnuic. Dh’innseadh an fheadhainn a thill beò às mu thogalaichean mòra le sgeadachadh snaidhte ’s òir orra agus gun dàinig an t-òr à monaidhean àite air choireigin san fhàsach. Bliadhnaichean mòra às dèidh seo, chan eil ach fuighill còmhdaichte le còinneach ’s craobhan air fhàgail dhen bheatha mhath a b’ àbhaist a bhith ann. Cha doir an cruthan ach beachd farsaing dhut mu cheàird an luchd-togail àrsaidh. Chan eil fios aig duine carson a dh’fhalbh iad. Chan eil fios aig duine carson. Thathar ag ràdh nach eil dad a’ bacadh an rathad dhan bheairteas a-nis. Ach gheibh mòran dhiubh bàs air an reubadh le madaidhean-allaidh, air an dol fodha ann am boglach… le treubhan nàimhdeil timcheall orra.","maps","../../data/maps/The_Far_North.wmf/elemental:10"
"back","air ais","This is good news indeed, Opol. Our economy is developing very well. Go back to your work now, Opol, and may Satul warm you and all your guild members!","Seo deagh naidheachd dha-rìribh, Opol. Tha an eaconamaidh againn a’ fàs glè mhath. Till don obair agad a-nis, Opol agus gum blàthaicheadh Satul thu agus gach bhall de chomann nam breabadair!","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:293"
"back","air ais","Only the gods know for how long we have to remain hidden here. The warriors hope we may march back gloriously any day now, but I strongly doubt that will happen soon. And the days are short and cold…","Chan eil fios aig na diathan dè cho fada ’s a dh’fheumas sinn fuireach ’nar falach ann a sheo. Tha na gaisgich an dòchas nach bi e fada gus an dèid leinn tilleadh ’s gus an dèan sinn a’ chùis air an nàmhaid, ach tha mi fhìn fo amharas nach tachair seo a dh’aithghearr. Agus tha na làithean air am fàs goirid is fuair oirnn…","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:246"
