"glossary_term","glossary_translation","source","target","file","location"
"outpost","Posto de avanzada","On this island, we will start our new life. We will build up an outpost for our exile, which perhaps will become a new, beautiful home for every one of us.","Nesta illa comezaremos unha nova vida. Levantaremos un asentamento para o exilio, un novo fogar para todos e cada un de nós.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:114"
"construction site","construcción","That won’t do yet. I still need to connect the lumberjack’s hut to the rest of my road network. After ordering the construction site, I was automatically put into road building mode, so all I have to do is click on the blue flag in front of my headquarters.","Iso non abondará. Aínda teño que conectar a cabana do leñador co resto da rede de camiños. Tras comezar unha obra, entrei de maneira automatica no modo de construción de camiños, así que o único que teño que facer é premer na bandeira que hai fronte ao cuartel xeral.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:113"
"construction site","construcción","Now watch closely while a builder leaves the headquarters and goes to the construction site. Also, a carrier will take position in between the two blue flags and carry wares from one blue flag to the other.","Agora fíxate en como o construtor sae do cuartel xeral e vai á obra. O mesmo fará un transportador, que levará os materiais dunha bandeira azul á outra.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:137"
"destroy","destruir","Attack and conquer all military buildings of the enemy and destroy their headquarters.","Ataca e conquista todas as instalacións militares do inimigo e destrúe os seus cuarteis.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:264"
"medium","media; medio","You can build four things on fields in Widelands: flags, small houses, medium houses and big houses. But not every field can hold everything. The build space symbols ease recognition:","Hai catro cousas distintas que podes construír nos campos de Widelands: bandeiras, edificios pequenos, edificios medianos e edificios grandes. Pero non podes construír cada cousa onde queiras. O asistente de construción facilita o recoñecemento:","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:325"
"mine","mina","The traitor left his armies dying where they lay when he saw that he would not keep my forces back. Kalitath disappeared in the confusion of the war, but I don’t care now. Shall he flee and be forgotten for all times as a tribal leader that would not bow before the wooden throne, that is mine to take now.","O traidor deixou aos seus exércitos morrer onde estaban ao ver que non conseguirían facer retroceder ás miñas tropas. Kalitath desapareceu durante a batalla, pero xa non me preocupa. Que fuxa e caia no esquecemento, como un líder de tribo que non se axeonllará fronte á coroa entre as árbores, que eu portarei.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:220"
"mine","mina","Sire, I’ve got good news for you: As I walked to the east, I found a larger mountain. I am not absolutely sure – a geologist should check if I am right – but I believe we could mine marble from some places on the mountain.","Señor, teño noticias para vós: Ao ir ao leste, atopei unha montaña máis grande. Non estou completamente seguro ─debería confirmalo o xeólogo─ pero coido que poderíamos conseguir mármore dalgunhas partes da montaña.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:182"
"mine","mina","There is one more thing I’d like to teach you now: Expanding your territory. The place that we started with around our headquarters is barely enough for a basic building infrastructure, and we do not have access to mountains, which we need to mine minerals and coal. So, we have to expand our territory.","Agora hai algo máis que me gustaría ensinarche: a expandir o teu territorio. O espazo co que comezamos ao redor do cuartel xeral apenas permite levantar unha infraestrutura de edificios e non temos acceso ás montañas, que será necesario para extraer minerais e carbón. Así que temos que expandir o noso territorio.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:576"
"back","volver","Only the gods know for how long we have to remain hidden here. The warriors hope we may march back gloriously any day now, but I strongly doubt that will happen soon. And the days are short and cold…","«Só os deuses saben canto tempo teremos que quedar aquí. Os guerreiros esperan que un destes días regresemos gloriosos, pero dubido moito que iso vaia acontecer tan pronto como esperan. E os días son cada vez máis curtos e fríos…","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:228"
"back","volver","The BASTARD! Only one man of our frontier patrol came back alive. He carried a message from Kalitath, telling us that he will punish every move of our troops with their own blood! We cannot accept this behavior. From now on, there is war between Kalitath and us!","Será cabrón! Só un dos nosos homes da fronteira regresou con vida. Portaba unha mensaxe de Kalitath, di que castigará cada movemento das nosas tropas coa súa vida! Non podemos permitilo. Isto é a guerra, a guerra entre Kalitath e nós!","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:209"
"back","volver","The traitor left his armies dying where they lay when he saw that he would not keep my forces back. Kalitath disappeared in the confusion of the war, but I don’t care now. Shall he flee and be forgotten for all times as a tribal leader that would not bow before the wooden throne, that is mine to take now.","O traidor deixou aos seus exércitos morrer onde estaban ao ver que non conseguirían facer retroceder ás miñas tropas. Kalitath desapareceu durante a batalla, pero xa non me preocupa. Que fuxa e caia no esquecemento, como un líder de tribo que non se axeonllará fronte á coroa entre as árbores, que eu portarei.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:220"
"back","volver","This morning, I found Thron’s mind troubled. He returned from his patrol late last night and sat back against a tree, watching over the encampment. The number of quarrels and disputes keeps growing, and the winter has us firmly in its grip. We should put food in our storage to survive the long, cold winter!","Esta mañá atopeime ao Thron preocupado. Regresou a outra noite tarde da súa patrulla e sentou contra unha árbore contemplando o campamento. As pelexas e disputas seguen medrando e o inverno xa nos colleu completamente. Deberiamos gardar comida para sobrevivir o duro inverno!","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:234"
"back","volver","At first, I was naive and hoped that they were peaceful, but as soon as one of them saw me, they charged towards me and started attacking me with their throwing spears. Thanks be to the Gods that I was able to flee and hide myself, before retreating back to our colony under cover of darkness.","Ao principio pequei de inocente e pensei: «ao mellor son pacíficos». Pero en canto me viu un dos seus, empezaron a perseguirme e a tirarme lanzas. Menos mal que din escapado e puiden agocharme ata que se fixo noite e puiden regresar á nosa colonia.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:243"
"back","volver","There are still a few Barbarians hiding on our island, but I am sure that we will find them soon. Every Barbarian who doesn’t attack us will be put in a boat with the other peaceful ones, and sent back to their country.","Aínda quedan algúns bárbaros agochados na nosa illa, pero estou convencido de que non habemos tardar en atopalos. Os bárbaros que non nos ataquen partiran nunha barca, xunto co resto dos que sexan pacíficos, de volta ás súas terras.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:267"
