"glossary_term","glossary_translation","source","target","file","location"
"Atlantis","Atlantis","After landing on a mysterious island close to Atlantis, the remaining Atlanteans struggle to make a new home for themselves.","Nakon pristajanja na mistični otok u blizini Atlantide, ostatak Atlantiđana se muči stvoriniti novi dom.","maps","../../data/campaigns/atl01.wmf/elemental:11"
"Atlantean","Atlantiđan","Cornmeal is produced in a mill out of corn and is one of three parts of the Atlantean bread produced in bakeries.","Kukuruzno brašno se proizvodi od kukuruza u mlinovima i jedan je od tri vrste kruha koji se proizvode u pekarama širom Atlantide.","tribes_encyclopedia","../../data/tribes/wares/cornmeal/helptexts.lua:4"
"Atlanteans","Atlantiđani","After landing on a mysterious island close to Atlantis, the remaining Atlanteans struggle to make a new home for themselves.","Nakon pristajanja na mistični otok u blizini Atlantide, ostatak Atlantiđana se muči stvoriniti novi dom.","maps","../../data/campaigns/atl01.wmf/elemental:11"
"multiplayer","Mrežna igra","Return to the multiplayer game setup","Povratak na postavke mrežne igre","widelands","../../src/ui_fsmenu/loadgame.cc:86 ../../src/ui_fsmenu/mapselect.cc:68"
"Armor","Oklop","Produces armor for the soldiers.","Proizvodi štit za vojnike","tribes_encyclopedia","../../data/tribes/workers/atlanteans/armorsmith/helptexts.lua:5"
"Armor","Oklop","Produces armor for the soldiers.","Proizvodi štit za vojnike","tribes_encyclopedia","../../data/tribes/workers/empire/armorsmith/helptexts.lua:3"
"Bakery","Pekara","Blackroot Flour is produced in mills out of blackroots. It is used in bakeries to make a tasty bread.","Crnokorijensko brašno se proizvodi u mlinovima za crni korijen. Koristi se za pečenje ukusnog kruha.","tribes_encyclopedia","../../data/tribes/wares/blackroot_flour/helptexts.lua:4"
"Bakery","Pekara","Flour is produced by the mill out of wheat and is needed in the bakery to produce the tasty Empire bread.","Crnokorijensko brašno se proizvodi u mlinovima za crni korijen. Koristi se za pečenje ukusnog kruha.","tribes_encyclopedia","../../data/tribes/wares/flour/helptexts.lua:4"
"building","građevina","Let’s hope that Lanissa – the warlord holding sway over that castle – has not discovered our movements yet. Perhaps we have a chance of conquering that mighty building without a bigger fight! However, it is essential that we capture it. It will be the key to our reign over this island!","Nadajmo se da nas Lanissa – vojskovođa koja kontrolira dvorac – još nije otkrila. Možda imamo šansu osvojiti tu močnu utvrdu bez puno žrtava! Prevažno je da ju osvojimo. Ona je ključna u našoj budućoj vladavini nad otokom!","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:80"
"building","građevina","Great! Erwyn gave up when he saw his last buildings burning down. That’s one less strong warlord on this island!","Bravo! Erwyn se je predao kad je vidio da njegovo posljednje uporište gori. Jedan veliki vojskovođa na otoku manje!","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:101"
"building","građevina","Great! Jomo gave up when he saw his last buildings burning down. That’s one less warlord on this island!","Bravo! Jomo se je predao kad je vidio da njegovo posljednje uporište gori. Jedan veliki vojskovođa na otoku manje!","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:110"
"building","građevina","In this scenario, the higher production buildings including mining will be introduced.","U ovom scenariju upoznajemo napredne proizvodne građevine i rudarenje.","maps","../../data/campaigns/bar01.wmf/elemental:10"
"building","građevina","This tutorial explains the handling of military and training site buildings and will introduce fighting.","Ovaj vodič objašnjava rukovanje vojnicima i treniranje vojske. Također, uvodi i borbu.","maps","../../data/campaigns/bar02.wmf/elemental:9"
"building","građevina","In this tutorial, you will learn how to navigate in Widelands and how to build buildings and roads.","Ovaj vodič će Vam pokazati osnove Widelandsa i kako da sagradite građevine i ceste.","maps","../../data/campaigns/tutorial01_basic_control.wmf/elemental:10"
"building","građevina","Enable the showing of building spaces","Uključi prikaz mjesta za gradnju","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:49"
"building","građevina","Be sure to send a geologist to survey sites before building a well or a mine.","Pošaljite geologa da istraži mjesto prije nego što napravite bunar ili rudnik.","texts","../../data/txts/tips/general_game.lua:10"
"building","građevina","Military buildings lost","Izgubljenih vojnih zgrada","widelands","../../src/wui/general_statistics_menu.cc:173"
"building","građevina","Military buildings defeated","Obranjenih vojnih zgrada","widelands","../../src/wui/general_statistics_menu.cc:178"
