"glossary_term","glossary_translation","source","target","file","location"
"Water","Acqua","Build a fisher’s house close to water to get raw fish","Costruisci una casa del pescatore per ottenere del pesce crudo.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:62"
"Smokery","Affumicatoio","The other two important food wares are smoked fish and smoked meat. Raw meat is delivered from a hunter. A fisher gets the fish out of the sea while a fish breeder makes sure that a school of fish does not go extinct by breeding more. Make sure that there are always fish left, otherwise the fish breeder won’t be able to breed new ones. The smoking happens in a smokery, you will need at least two of those.","Gli altri due beni alimentari importanti sono il pesce affumicato e la carne affumicata. La carne cruda è procurata da un cacciatore. Un pescatore prende il pesce da mare mentre un allevatore di pesci si assicura che la riserva di pesci non si estinga allevandone di più. Assicurati che ci siano sempre dei pesci rimasti, altrimenti l'allevatore di pesci non sarà in grado di allevarne altri. L'affumicatura avviene in un affumicatio, ne avrai bisogno di almeno due.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:56"
"Smokery","Affumicatoio","Build a tavern, a fisher’s house, a smokery, a berry farm and a fruit collector’s house.","Costruisci una taverna, una casa del pescatore, una casa dell'affumicatore, una fattoria di bacche e una casa del raccoglitore di frutta.","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:59"
"Smokery","Affumicatoio","We need to build a tavern for preparing rations. To get the raw food, we have to build a fisher’s house, and as nobody likes raw fish, a smokery to smoke it. Furthermore, build a berry farm which will plant berry bushes, and a fruit collector’s house so the bushes will be harvested.","Dobbiamo costruire una taverna per preparare delle razioni. Per procurarci il cibo da cucinare, dobbiamo costruire una casa del pescatore e, dato che nessuno apprezza il pesce crudo, una casa dell'affumicatore per affumicarlo. In più, costruiremo una fattoria di bacche in cui piantare arbusti di bacche ed una casa del raccoglitore di frutta così da poter fare il raccolto dei frutti degli arbusti.","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:220"
"Smokery","Affumicatoio","Fish is one of the biggest food resources of the Atlanteans. It has to be smoked in a smokery before being delivered to mines, training sites and scouts.","Il pesce è una delle più grandi fonti di cibo degli Atlantidei. Deve essere affumicato in un affumicatore prima di essere consegnato alle miniere, ai luoghi di addestramento ed agli esploratori.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:476"
"Smokery","Affumicatoio","As no Atlantean likes raw fish, smoking it in a smokery is the most common way to make it edible.","Dal momento che nessun Atlantideo ama il pesce crudo, affumicarlo in un affumicatore è il sistema più comune per renderlo commestibile.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:485"
"Smokery","Affumicatoio","Smoked meat is made out of meat in a smokery. It is delivered to the mines and training sites (labyrinth and dungeon) where the miners and soldiers prepare a nutritious lunch for themselves.","La carne affumicata è prodotta partendo dalla carne in un affumicatore. Viene consegnata alle miniere e ai siti di addestramento (labirinti e segrete), dove i minatori e i soldati si preparano un nutriente pasto.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:506"
"Smokery","Affumicatoio","This hook pole is used by the smoker to suspend all the meat and fish from the top of the smokery. It is created by the toolsmith.","Questo palo uncinato è utilizzato dall'affumicatore per appendere la carne ed il pesce in alto, nell'affumicatore. È prodotto dal fabbro di attrezzi.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:739"
"Ironwood Tree","Albero di legno ferro","This ironwood tree is ready for harvesting ironwood by a master woodcutter. Other tribes can harvest it for normal logs.","Quest'albero del legno ferro è pronto per essere tagliato da un mastro taglialegna. Altre tribù possono usarlo per farne normali tronchi.","tribes_encyclopedia","../../data/tribes/initialization/amazons/units.lua:911 ../../data/tribes/initialization/amazons/units.lua:939 ../../data/tribes/initialization/amazons/units.lua:967 ../../data/tribes/initialization/amazons/units.lua:995"
"Horse Farm","Allevamento di cavalli","People are complaining about crowded streets and slow transportation. We need to help out our carriers on the roads. I have decided to build a horse farm so that the horses can help with the heavy wares.","La gente si sta lamentando delle strade affollate e dei trasporti lenti. Dobbiamo dare una mano ai nostri trasportatori sulle strade. Ho deciso di costruire una stalla, così i cavalli potranno essere d'aiuto con le merci pesanti.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:382"
"Spider Farm","Allevamento di ragni","May Satul warm you, Jundlina! The weaving mill, gold spinning mill and spider farm buildings are complete and are starting their work at this very moment. The weavers’ guild is very grateful for your support and we will stand by our word and deliver the first tabard very soon.","Possa Satul riscaldarti, Jundlina! Lo stabilimento tessile, lo stabilimento di filatura dell'oro e l'allevamento dei ragni sono completi, e stanno iniziando proprio ora la produzione. La gilda dei tessitori ti è assai grata per il tuo  supporto: manterremo la nostra parola e molto presto consegneremo il primo tabarro.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:285"
"Reindeer Farm","Allevamento di renne","Build a barracks, a reindeer farm and a sewing room.","Costruisci una caserma, una fattoria delle renne e una sala da cucito.","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:83"
"Pig Breeder","Allevatore di maiali","The pig breeder needs %1% on average to raise and slaughter a pig.","L'alllevatore di maiali impiega in media %1% per crescere e macellare un maiale.","tribes_encyclopedia","../../data/tribes/initialization/empire/units.lua:1726"
"Al’thunran","Al’thunran","We can see the raging flames that swallow Al’thunran from here, miles away.","Da qui possiamo vedere in lontananza le fiamme infuriate che inghiottono Al'thunran.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:156"
"Al’thunran","Al’thunran","So you want to prepare us for a longer stay in these forests, Thron? Well, I see the wisdom in doing so, yet my heart is yearning for a glorious return to Al’thunran. Too long have we waited while our brethren have fought on the battlefield, and our axes and swords have turned rusty over time.","Allora vuoi prepararci a una lunga permanenza in queste foreste, Thron? Beh, vedo saggezza nel farlo, ma il mio cuore desidera un glorioso ritorno ad Al'thunran. Troppo a lungo abbiamo atteso mentre il nostro popolo combatteva, e le nostre asce e spade si sono arrugginite nel tempo.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:302"
"Al’thunran","Al’thunran","When I gazed at the horizon, I still saw crimson lights flicker in the distance. It is incredible with how much passion my brethren fight this war. I fear the moment I will see Al’thunran again – will there be anything but ashes and wasted ruins left of our once beautiful capital when we get there?","Quando ho guardato l'orizzonte, Ho visto ancora luci cremisi di lampade in lontananza. È incredibile con quanta passione i miei fratelli combattono questa guerra. Temo il momento in qui vedrò di nuovo Al'thunran - quando ci arriveremo ci sarà qualcosa oltre alle ceneri e alle rovine devastate della nostra capitale una volta bella?","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:508"
"Al’thunran","Al’thunran","But they fear that the war around Al’thunran will set an end to this life. Therefore, they have decided to join us, hoping that we can help each other.","Ma temono che la guerra ad Al'thunran marcherà la fine di questo stile di vita. Pertanto, hanno deciso di unirsi a noi, sperando che possiamo aiutarci a vicenda.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:534"
"Al’thunran","Al’thunran","The news that a patrol brought is not good to hear. Our spies tell us that the war tribes still rage in battle, but some of the elder soldiers and tribe leaders seem to grow tired of this senseless war. Kalitath, son of Kun is the first war leader to leave Al’thunran, thus leaving his side weak and vulnerable. As my scouts report, he has set foot on the lower grounds around the capital, securing the outer fortification rings.","Le notizie che ci ha portato una pattuglia non sono bella da ascoltare. Le nostre spie ci dicono che le tribù sono ancora impegnate in una rabbiosa battaglia, ma alcuni dei soldati più anziani e dei capitribù sembrano stanchi di questa guerra insensata. Kalitath, figlio di Kun, è il primo condottiero a lasciare Al'thunran, lasciando così il suo lato debole e vulnerabile. Come riportato dal mio esploratore, egli ha messo piede nelle terre attorno alla capitale, mettendo in sicurezza gli anelli esterni della fortificazione.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:170"
"Al’thunran","Al’thunran","Thron seeks to believe that Kalitath is tired of fighting and would be willing to join us once we march to re-establish law and order in Al’thunran. But I don’t think so. Kalitath is son to one of the mightiest generals of our forces and his family never quite liked the thought of bowing before the banner of Chat’Karuth. Why should he march with Chat’Karuth’s son to reclaim his heritage and the throne?","Thron cerca di credere che Kalitath sia stanco di combattere e sia disposto a unirsi a noi, prima di marcire insieme per ristabilire la legge e l'ordine in Al'thunran. Ma io non la penso così. Kalitath è figlio di uno dei generali più potenti delle nostre forze e alla sua famiglia non piaceva molto l'idea di inchinarsi davanti la bandiera di Chat'Karuth. Perché avrebbe dovuto marciare con suo figlio per reclamare il suo patrimonio e il trono?","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:178"
