"glossary_term","glossary_translation","source","target","file","location"
"Atlantean","アトランティス","Golden tabards are produced in Atlantean weaving mills out of gold thread. They are used in the labyrinth – together with food – to train soldiers from health level 0 to level 1.","ゴールデンタバードは、織物工房で金糸を使用して製造されます。訓練場で兵士の体力レベルを０から１に訓練するために食物とともに使用されます。","tribes_encyclopedia","../../data/tribes/wares/tabard_golden/helptexts.lua:4"
"Atlantean","アトランティス","The double trident is one of the best tridents produced by the Atlantean weapon smithy. It is used in a dungeon – together with food – to train soldiers from attack level 2 to level 3.","ダブルトライデントは、武器工房でつくられる上質の槍です。ダンジョンで兵士の攻撃レベルを２から３へ訓練するために食物とともに使用されます。","tribes_encyclopedia","../../data/tribes/wares/trident_double/helptexts.lua:4"
"Armor","アーマー","By the Gods, this is an unbelievable stroke of fortune! There are two more mountains, and it seems that one has a large quantity of coal and the other of iron ore. I advise you to immediately build iron and coal mines (or at least charcoal kilns), smelting works, toolsmithies, armor and weapon smithies.","おお神よ！これは何という奇跡なのか！さらに二つの山がありました。一方には石炭、そしてもう一方には鉄鉱石が大量に眠っているようです。すぐに鉄鉱、炭鉱 (炭焼き小屋で代用できないこともないです)、精錬所、道具工房、防具工房、武器工房を建設しましょう。","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:200"
"Armor","アーマー","We need some cloth as well for producing armor in our armor smithy. We need it to build some of the training buildings for our soldiers. And most important and most imminent of all, we need it to send out expeditions.","防具工房で防具を作る時にも布は必要。兵士達の訓練施設を建てる時にも必要。そして今の私たちに一番差し迫った用途として、探検を行う時にも布は必要になるわ。","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:540"
"Armor","アーマー","Don’t forget to forge weapons and armor for them.","彼らのための武器と防具を忘れずに鍛造しましょう。","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:150"
"Armor","アーマー","I advise to build all those buildings within a short distance of each other, and to construct two warehouses nearby: One should be set to store only weapons, armor, ores, metal and coal; the other to store building materials.","私としては、それらの建物は近い場所に作ると良いと思いますぞ。さらに、近くに倉庫を２つ作ることをお勧めしますぞ。そして、一方を武器、防具、鉱石、金属、石炭の備蓄に使い、もう一方を建築資材の備蓄に使うのですな。","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:270"
"Armor","アーマー","We will need a tailor’s shop to sew more protective garments, and another sewing room to keep producing normal fur garments. Also, you should enhance the small armor smithy to produce better weapons and helmets, and build a new small one so we will still get basic weapons. We need at least one gold mine now, because the best weapons and armor use gold.","より丈夫な革鎧を作るには仕立工房を１つ作らねばなりませんな。そして、普通の革鎧の生産のためにもう一つ縫製工房を建てねばならないでしょうな。さらに、武具製作所を拡張して優れた武器やヘルムの生産を可能にする必要もありましょうな。こちらも基本的な武具の作成のために、新しく１件武具製作所を建てる必要がありますぞ。それと、最高の武器防具の製造には金が欠かせませんから、金鉱が最低でも１つは必要ですぞ。","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:334"
"Armor","アーマー","Forges armor and helmets that are used for training soldiers’ health in the training camp.","訓練場で兵士の体力訓練に使われる鎧とヘルムを鍛造します。","tribes_encyclopedia","../../data/tribes/buildings/productionsites/empire/armorsmithy/helptexts.lua:16"
"Armor","アーマー","Recycles old armor and weapon parts that have been discarded by training sites into fur, iron and gold.","訓練施設で破棄された古い武器や鎧の一部を毛皮、鉄、そして金にリサイクルします。","tribes_encyclopedia","../../data/tribes/buildings/productionsites/frisians/recycling_center/helptexts.lua:16"
"Armor","アーマー","Breeds strong reindeer for adding them to the transportation system. Also keeps them for their fur, which is turned into armor and cloth.","輸送システムに組み込むために強靭なトナカイを繁殖させます。加えて、その毛皮を取り、鎧や布の材料にします。","tribes_encyclopedia","../../data/tribes/buildings/productionsites/frisians/reindeer_farm/helptexts.lua:16"
"Armor","アーマー","Equips the soldiers with all necessary weapons and armor parts.","必要となる全ての種類の武器と鎧の全てを兵士に装備させます。","tribes_encyclopedia","../../data/tribes/buildings/trainingsites/atlanteans/dungeon/helptexts.lua:19 ../../data/tribes/buildings/trainingsites/atlanteans/labyrinth/helptexts.lua:19"
"Armor","アーマー","Equips the soldiers with all necessary weapons and armor parts.","必要となる全ての種類の武器と鎧の全てを兵士に装備させます。","tribes_encyclopedia","../../data/tribes/buildings/trainingsites/barbarians/trainingcamp/helptexts.lua:16"
"Armor","アーマー","Equips the soldiers with all necessary weapons and armor parts.","必要となる全ての種類の武器と鎧の全てを兵士に装備させます。","tribes_encyclopedia","../../data/tribes/buildings/trainingsites/empire/trainingcamp/helptexts.lua:19"
"Armor","アーマー","Trains soldiers in Attack, Defense and Health to the final level. Equips the soldiers with all necessary weapons and armor parts.","兵士の「攻撃」、「防御」、「体力」を最大レベルまで訓練します。そして必要となる全ての種類の武器と鎧の全てを兵士に装備させます。","tribes_encyclopedia","../../data/tribes/buildings/trainingsites/frisians/training_arena/helptexts.lua:16"
"Armor","アーマー","Trains soldiers in Attack up to level 3 as well as in Defense and Health to level 1. Equips the soldiers with all necessary weapons and armor parts.","兵士の攻撃をレベル３まで、そして防御と体力をレベル１まで訓練します。そして必要となる全ての種類の武器と鎧の全てを兵士に装備させます。","tribes_encyclopedia","../../data/tribes/buildings/trainingsites/frisians/training_camp/helptexts.lua:16"
"Armor","アーマー","Basic armor for Empire soldiers. It is produced in the armor smithy and used in the training camp – together with food – to train soldiers from health level 1 to level 2.","帝国兵の基本となる防具です。防具工房で製造されて訓練場で食物とともに使用され、兵士の体力レベルを０から１に訓練するために使われます。","tribes_encyclopedia","../../data/tribes/wares/armor/helptexts.lua:4"
