"glossary_term","glossary_translation","source","target","file","location"
"outpost","감시 초소","An Outpost for Exile","추방자의 개척지","maps","../../data/campaigns/campaigns.conf:96 ../../data/campaigns/emp02.wmf/elemental:9"
"building","건설","In this scenario, the higher production buildings including mining will be introduced.","이번 시나리오에서는, 채굴을 포함해서 더 높은 생산 건물을 소개할 것입니다.","maps","../../data/campaigns/bar01.wmf/elemental:10"
"building","건설","This tutorial explains the handling of military and training site buildings and will introduce fighting.","이 자습서는 군사 건물과 훈련 건물을 다루는 법을 설명하고 전투를 소개할 것입니다.","maps","../../data/campaigns/bar02.wmf/elemental:9"
"building","건설","There is lot of flat ground on the mountains. Unfortunately, most of it is vertical. Use the little building space that you have wisely. A fortress at the mouth of a narrow mountain pass can be a formidable obstacle to an enemy army. Use the terrain to your advantage.","산에는 평지가 많이 있습니다. 불행히도 대부분은 수직벽입니다. 현명하게 가지고 있는 작은 건물 공간을 사용하십시오. 좁은 산길의 입구에있는 요새는 적군에게 막대한 장애물이 될 수 있습니다. 당신 진형의 지형에대한 잇점을 잘 활용하십시오.","maps","../../data/maps/Dolomites_v2.wmf/elemental:11"
"building","건설","Some say that impenetrable lands to the far north scared away even the most courageous settlers and the bravest of the brave warriors. Big and old forests, full of big and predatory game, cut across by wetlands and hills were shrouded in mystery. The ones who had managed to come back mentioned tremendous buildings, decorated with carvings and gold from majestic mountain ranges somewhere amongst the wilderness. Dozens of years after only some crumbly ruins remain of these good old times, covered with moss and trees. Their shapes give only an idea about the craftsmanship of ancient constructors. Nobody knows why they (have) disappeared. Nobody knows why. People say that now nothing is blocking the road to wealth. But many will die pulled apart by wolves, engulfed by swamp… encircled by hostile tribes.","어떤이들은 눈앞이 안 보일 정도의 먼 북쪽 땅은 가장 용감한 정착민들과 용사중의 용사들 조차도 쫓아버렸다고 말합니다. 습지와 언덕을 가로 지르는 크고 약탈적인 놀이로 가득 찬 크고 오래된 숲은 수수께끼에 싸여있었습니다. 가까스로 돌아올 수 있었던 사람들은 황무지의 어딘가에 있는 웅장한 산맥에서 나온 조각과 금으로 장식된 엄청난 건물을 언급했습니다. 
일부 부서지기 쉬운 폐허만이 이런 좋은 시절의 잔재를 남겨둔 수십년 후, 이곳은 이끼와 나무로 뒤덮였습니다. 그것들의 모양은 고대 건축가의 장인 정신에 대한 생각만을 줍니다.. 
그들이 왜 사라졌는지는 아무도 모른다. 아무도... 사람들은 이제 부자로 가는 길을 가로 막고 있는것은 아무것도 없다고 말합니다. 하지만 많은 사람들이 늪으로 둘러쌓인… 늑대에 의해 갈갈히 찣겨져 죽을것입니다. 적대적인 부족들에게 둘러 쌓인체. (번역확인??)","maps","../../data/maps/The_Far_North.wmf/elemental:10"
"building","건설","Ensure the supply of building wares","건축 자재 공급 체제를 정비하십시오.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:31"
"building","건설","Supply Building Wares","건축 자재 공급","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:33"
"building","건설","Supply basic building material for your economy:","경제를 위한 기초 건축자재 공급:","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:34"
"building","건설","This is only the first example of a ware which has to be refined before being used in a secondary building – others will follow.","이것은 보조 건물에서 사용되기 전에 반드시 다듬어야 하는 제품의 첫번째 예이며, 다른 것들도 마찬가지입니다.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:65"
"building","건설","A normal mine can only dig up about one third of all the resources that lie beneath it; then it must be enhanced to a deep mine in order to keep it working properly. To enhance a building, choose it and then click the appropriate button in the appearing window.","정상적인 광산은 그 아래에 있는 모든 자원의 약 1/3 파기 할 수 있으며, 제대로 작동하려면 광산을 보강해야합니다. 건물을 보강 시키려면 건물을 선택한 다음 나타나는 창에서 해당 버튼을 클릭하십시오.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:91"
