"glossary_term","glossary_translation","source","target","file","location"
"wares","gaminiai","Unloading of wares failed, expedition is cancelled now.","Gaminių išgabenimas nepavyko, ekspedicija nutraukiama dabar.","widelands","../../src/logic/map_objects/tribes/ship.cc:675"
"wares","gaminiai","Preferably store selected wares here","Pageidautina čia saugoti pasirinktus gaminius ","widelands","../../src/wui/constructionsitewindow.cc:299 ../../src/wui/warehousewindow.cc:150"
"wares","gaminiai","Do not store selected wares here","Nesaugoti čia pažymėtų gaminių","widelands","../../src/wui/constructionsitewindow.cc:303 ../../src/wui/warehousewindow.cc:151"
"wares","gaminiai","Remove selected wares from here","Pašalinti iš čia pažymėtus gaminius","widelands","../../src/wui/constructionsitewindow.cc:307 ../../src/wui/warehousewindow.cc:152"
"wares","gaminiai","Increase the number of wares you want to be stored here","Padidinti gaminių kiekį, kurį norite čia saugoti","widelands","../../src/wui/inputqueuedisplay.cc:124"
"wares","gaminiai","Decrease the number of wares you want to be stored here","Sumažinti gaminių kiekį, kurį norite čia saugoti","widelands","../../src/wui/inputqueuedisplay.cc:126"
"wares","gaminiai","Show ships shipping wares and workers","Rodyti laivus gabenančius gaminius ir darbininkus","widelands","../../src/wui/seafaring_statistics_menu.cc:513"
"tribes","gentys","Set number of players and their names, tribes and starting positions","Nustatyti žaidėjų skaičių ir jų vardus, gentis ir pradines padėtis ","widelands","../../src/editor/editorinteractive.cc:336"
"dismantle","išardyti","Do you really want to dismantle this building?","Ar tikrai nori išmontuoti šį statinį? ","widelands","../../src/wui/actionconfirm.cc:249"
"resources","ištekliai","There are no rocks near to your starting position. Therefore, you receive extra resources for bootstrapping your economy.","Šalia tavo pradinės padėties nėra akmens. Todėl ekonomikos vystymui gauni papildomų išteklių.","widelands","../../data/scripting/infrastructure.lua:281"
"resources","ištekliai","There are no trees near to your starting position. Therefore, you receive extra resources for bootstrapping your economy.","Šalia tavo pradinės padėties nėra medžių. Todėl ekonomikos vystymui gauni papildomų išteklių.","widelands","../../data/scripting/infrastructure.lua:286"
"soldiers","kareiviai","Send less soldiers. Hold down Ctrl to send no soldiers","Siųsti mažiau kareivių. Laikyk paspaudęs Ctlr mygtuką, norėdamas nesiųsti kareivių.","widelands","../../src/wui/attack_window.cc:255"
"soldiers","kareiviai","Send more soldiers. Hold down Ctrl to send as many soldiers as possible","Siųsti daugiau kareivių. Laikyk paspaudęs Ctlr mygtuką, norėdamas siųsti visus kareivius, kuriuos galima.","widelands","../../src/wui/attack_window.cc:260"
"soldiers","kareiviai","Hold down Ctrl to remove all soldiers from the list","Laikyk paspaudęs Ctlr mygtuką, norėdamas pašalinti visus kareivius iš sąrašo.","widelands","../../src/wui/attack_window.cc:291"
"soldiers","kareiviai","Hold down Shift to remove all soldiers up to the one you’re pointing at","Laikyk paspaudęs Shift mygtuką, norėdamas pašalinti visus kareivius išskyrus tavo pažymėtą.","widelands","../../src/wui/attack_window.cc:292"
"soldiers","kareiviai","Hold down Ctrl to add all soldiers to the list","Laikyk paspaudęs Ctlr mygtuką, norėdamas visus kareivius įtraukti į sąrašą.","widelands","../../src/wui/attack_window.cc:306"
"soldiers","kareiviai","Hold down Shift to add all soldiers up to the one you’re pointing at","Laikyk paspaudęs Shift mygtuką, norėdamas įtraukti visus kareivius išskyrus tavo pažymėtą.","widelands","../../src/wui/attack_window.cc:307"
"building","statymas","Hide Building Spaces","Paslėpti erdves statiniams","widelands","../../src/editor/editorinteractive.cc:435 ../../src/wui/interactive_gamebase.cc:227"
"building","statymas","Show Building Spaces","Rodyti erdves statiniams","widelands","../../src/editor/editorinteractive.cc:435 ../../src/ui_fsmenu/options.cc:243 ../../src/wui/interactive_gamebase.cc:227"
"building","statymas","the building has the following wares: %s","statinys turi šiuos gaminius: %s","widelands","../../src/logic/map_objects/tribes/production_program.cc:543"
"building","statymas","the building doesn’t have the following wares: %s","statinys neturi šių gaminių:%s","widelands","../../src/logic/map_objects/tribes/production_program.cc:566"
"building","statymas","Any wares left in the building will be dropped out by the builder, increasing the dismantling time","Visi statinyje likę gaminiai bus išnešti statybininko, dėl to pailgės išmontavimo laikas","widelands","../../src/wui/actionconfirm.cc:253"
"building","statymas","Any wares left in the building will be dropped out by the builder, increasing the enhancing time","Visi statinyje likę gaminiai bus išnešti statybininko, dėl to pailgės pagerinimo laikas","widelands","../../src/wui/actionconfirm.cc:315"
"building","statymas","(no building selected)","(nėra pažymėtų statinių)","widelands","../../src/wui/building_statistics_menu.cc:65"
"game","žaidimas","%1$s has left the game (%2$s)","%1$s paliko žaidimą (%2$s)","widelands","../../src/network/network_gaming_messages.cc:127"
"game","žaidimas","Unknown user has left the game (%s)","Nežinomas naudotojas paliko žaidimą (%s)","widelands","../../src/network/network_gaming_messages.cc:129"
"game","žaidimas","Multiplayer Game Setup","Kelių žaidėjų žaidimo nustatymai","widelands","../../src/ui_fsmenu/launch_mpg.cc:420"
"game","žaidimas","Return to the multiplayer game setup","Grįžti į kelių žaidėjų žaidimo nustatymus","widelands","../../src/ui_fsmenu/loadgame.cc:82 ../../src/ui_fsmenu/mapselect.cc:66"
"game","žaidimas","Exit Game Confirmation","Išėjimo iš žaidimo patvirtinimas","widelands","../../src/wui/game_exit_confirm_box.cc:27"
"game","žaidimas","The game could not be deleted.","Žaidimo nebuvo galima ištrinti.","widelands","../../src/wui/savegamedeleter.cc:108"
