"glossary_term","glossary_translation","source","target","file","location"
"building","bangunan","Start collecting basic building materials, and fortify the camp.","Mula mengutip bahan pembinaan asas, dan perkukuhkan kem.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:24"
"building","bangunan","Boldreth is right! We don’t have enough food to survive a long, cold winter. We should start building a well, a fisher’s and a hunter’s hut. And if we find enough space, we should as well build up a farm and a bakery! One of our farmers seems to be very clever – he already got some crops to grow in this cold soil.","Kata-kata Boldreth ada kebenarannya! Kita perlukan makanan untuk menghadapi musim sejuk yang lama ini. Kita perlu bina telaga, pondok nelayan dan pondok pemburu. Dan jika kita temui tanah rata, kita juga perlu bina ladang dan tempat membuat roti! Ada dikalangan petani kita sangat bijak, beliau ada benih tanaman yang dapat bertahan hidup dengan tanah sejuk ini.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:248"
"building","bangunan","Finally! The fortress has just been completed, so the entrance to our settlement should be safe for now. For the future, we might think on building some more fortifications like barriers and towers at the passages, but for now we can take a deep breath.","Akhirnya! Kubu kita telah selesai dibina, jalan masuk ke penempatan kita buat masa ini lebih selamat. Pada masa akan datang, kita perlu tambah lagi beberapa lagi kubu pertahanan seperti perisai sawar dan menara di laluan tersebut, tetapi kita boleh menarik nafas lega kerana sudah ada pertahanan.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:312"
"building","bangunan","Widelands records every game you play in two files. One of these files has a .wrpl.wgf extension and contains an initial savegame. The other file has a .wrpl extension and contains all commands that were issued by all players, such as building a road or attacking an enemy. The rest of the filenames will tell you the time you started the game.","Widelands merekod setiap permainan yang anda main kepada dua fail. Salah satu dari fail ini memiliki sambungan .wrpl.wgf dan mengandungi  permainansimpan awalan. Fail kedua mempunyai sambungan.wrpl dan mengandungi semua perintah yang telah dibuat oleh semua pemain, seperti membina jalan atau menyerang musuh. Nama fail selebihnya memberitahu anda masa anda memulakan permainan.","texts","../../data/txts/help/common_helptexts.lua:26"
"building","bangunan","The building process will only start after a road is built to the construction site.","Proses pembinaan akan bermula selepas jalan dibina ke tapak pembinaan.","texts","../../data/txts/tips/general_game.lua:6"
"building","bangunan","Be sure to send a geologist to survey sites before building a well or a mine.","Pastikan anda menghantar ahli geologi ke tapak tinjauan sebelum membina perigi atau lombong.","texts","../../data/txts/tips/general_game.lua:10"
"building","bangunan","Start building road after placing a flag","Mula membina jalan selepas meletak bendera","widelands","../../src/ui_fsmenu/options.cc:210"
"delete","padam","Manage your messages more efficiently: press ‘N’ for News to access the messages window, then use ‘G’ for Go To, and the Delete key to archive messages.","Urus mesej anda lebih efisyen: tekan 'N' untuk Berita mencapai tetingkap mesej. kemudian guna 'G' atau Pergi Ke, dan kekunci Delete untuk arkibkan mesej.","texts","../../data/txts/tips/general_game.lua:39"
"delete","padam","Do you really want to delete this replay?","Anda pasti mahu memadam main semula ini?","widelands","../../src/wui/load_or_save_game.cc:245"
"delete","padam","Do you really want to delete this %d replay?","Anda pasti mahu memadam main semula %d ini?","widelands","../../src/wui/load_or_save_game.cc:248"
"delete","padam","Do you really want to delete this game?","Anda pasti mahu memadam permainan ini?","widelands","../../src/wui/load_or_save_game.cc:254"
"delete","padam","Do you really want to delete this %d game?","Anda pasti mahu memadam permainan %d ini?","widelands","../../src/wui/load_or_save_game.cc:257"
"seafaring","pelayaran","Show seafaring messages only","Tunjuk mesej pelautan sahaja","widelands","../../src/wui/game_message_menu.cc:548"
"multiplayer","pemain berbilang","Widelands is nearly feature complete and is much fun to play alone and even more in multiplayer with others. Still, there is always more work to be done in all areas. If you are interested in contributing – be it by making graphics, fixing bugs or adding new features, translating the game into your language or creating new maps – get in touch on our homepage.","Widelands merupakan permainan berfitur hampir lengkap dan seronok dimainkan secara berseorangan dan lagi menyeronokkan jika bermain secara beramai-ramai dengan rakan-rakan. Walaubagaimanapun, masih terdapat beberapa kerja-kerja permbangunan yang perlu dibuat dalam semua bahagian. Jika anda berminat memberi sumbangan - sama ada membuat grafik, membaiki pepijat atau menambah fitur baharu, menterjemah permainan ke dalam bahasa ibunda anda atau mencipta peta baharu - sila-silakan menghubungi kami.","texts","../../data/txts/README.lua:14"
"multiplayer","pemain berbilang","Widelands is a free, open source real-time strategy game with singleplayer campaigns and a multiplayer mode. The game was inspired by Settlers II but has significantly more variety and depth to it. Still, it is easy to get started through playable tutorials.","Widelands merupakan permainan strategi masa-nyata percuma dan bersumber terbuka dengan kempen seorang pemain dan juga mod pemain-berbilang. Permainan ini diilham daripada Settlers II tetapi ia lebih banyak variasi dan juga mendalam permainannya. Walaubagaimanapun, permainan ini boleh dimulakan
dengan tutorial-tutorial yang seronok dimainkan.","texts","../../data/txts/help/common_helptexts.lua:18"
"multiplayer","pemain berbilang","You are in the multiplayer launch game menu.","Anda kini berada dalam menu permainan berbilang pemain.","texts","../../data/txts/help/multiplayer_help.lua:8"
"tribe","puak","The tribe or team that can defeat all others wins the game!","Suku kaum atau pasukan yang dapat mengalahkan semua pemain lain akan memenangi permainan!","win_conditions","../../data/scripting/win_conditions/defeat_all.lua:17"
"dismantle","runtuh","If you like to live dangerously, pressing Ctrl while clicking the enhance, dismantle or destroy building buttons will skip the confirmation.","Jika anda suka bermain dengan risiko, menekan Ctrl ketika mengklik butang naik taraf, robohkan atau musnahkan bangunan akan melangkau pengesahan.","texts","../../data/txts/tips/general_game.lua:55"
"dismantle","runtuh","If built directly, dismantle yields:","Jika dibina terus, hasil rombak:","tribes_encyclopedia","../../data/tribes/scripting/help/building_help.lua:544"
"dismantle","runtuh","If enhanced, dismantle yields:","Jika dinaik taraf, hasil rombak:","tribes_encyclopedia","../../data/tribes/scripting/help/building_help.lua:549"
"back","undur","The BASTARD! Only one man of our frontier patrol came back alive. He carried a message from Kalitath, telling us that he will punish every move of our troops with their own blood! We cannot accept this behavior. From now on, there is war between Kalitath and us!","KURANG AJAR! Hanya seorang peronta perbatasan kita yang masih hidup. Dia telah menyampaikan mesej daripada Kalitath, beliau akan hukum pasukan kita yang ditemui dengan darah mereka sendiri! Kita tidak boleh menerima sikap kurang ajar beliau. Mulai sekarang, kita lancarkan perperangan dengan Kalitath!","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:215"
"back","undur","The traitor left his armies dying where they lay when he saw that he would not keep my forces back. Kalitath disappeared in the confusion of the war, but I don’t care now. Shall he flee and be forgotten for all times as a tribal leader that would not bow before the wooden throne, that is mine to take now.","Pembelot telah meninggalkan askar yang telah mati ketika dia melihat tidak mampu mengekalkan angkatan tentera saya. Kalitath hilang dalam kelam kabut perperangan, tetapi saya tidak peduli sekarang. Biarlah dia hilang dan dilupakan sebagai seorang ketua puak dan tidak lagi menuntut tahta, ia sudah menjadi milik saya.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:226"
"back","undur","This morning, I found Thron’s mind troubled. He returned from his patrol late last night and sat back against a tree, watching over the encampment. The number of quarrels and disputes keeps growing, and the winter has us firmly in its grip. We should put food in our storage to survive the long, cold winter!","Pagi ini, Saya dapati muka Thron seakan menghadapi masalah. Dia baru sahaja pulang dari rondaan malam tadi dan bersandar dipohon, termenung ke arah kawasan perkemahan. Kelihatan suara perbalahan dan bunyi pergaduhan yan semakin kuat kedengaran, musim sejuk akan datang menjadikan hari-hari akan datang semakin sukar. Kita perlu mengumpul makanan untuk menghadapi musim sejuk akan datang yang lama!","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:240"
"back","undur","Nothing is left of that beauty I remember, only ruins remain of the old capital. I am sorrowful but also relieved. I never hoped to see Al’thunran’s old beauty again – it was only a few months ago that I wondered whether I would ever be able to set my feet there again. Now the old town is back in my hands, and I will not hesitate to rebuild it with all the strength my people have. I can’t wait to see it again in its old beauty.","Tiada apa-apa lagi kecantikan yang saya ingati, hanyalah sisa-sisa tinggalan ibu kota lama. Saya rasa sedih tetapi juga berasa lega. Saya harap dapat melihat kecantikan bandar Al'thunran sekali lagi - ia hanya beberapa bulan yang lalu dan saya harap dapat menjejak kaki di bandar ini lagi. Sekarang, bandar ini telah menjadi milik saya, saya akan membinanya semula dengan segala kekuatan yang ada. Di harap kecantikan bandar ini akan menyerlah kembali.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:335"
