"glossary_term","glossary_translation","source","target","file","location"
"Attack","Angrep","Sire, I fear we are not safe in this foreign land. Who knows what terrible creatures live beyond this forest, in that mighty desert? What if these creatures enter the woods and await the time to attack us?","Deres nåde, jeg frykter vi ikke er trygge i dette fremmede landet. Hvem vet hvilke forferdelige skapninger som skjuler seg på andre siden av skogen, i den store ørkenen? Hva hvis disse skapningene skjuler seg i skogen og venter på det rette tidspunktet til å angripe oss?","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:129"
"Spider Breeder","Edderkoppoppdretter","Milking tongs are used by the spider breeder to milk the spiders. They are produced by the toolsmith.","Hakker blir brukt av steinkuttere og gruvearbeidere. De blir laget av verktøysmeden.","tribes_encyclopedia","../../data/tribes/wares/milking_tongs/helptexts.lua:4"
"Fish","Fisk","This hook pole is used by the smoker to suspend all the meat and fish from the top of the smokery. It is created by the toolsmith.","Denne buen blir brukt av den atlantiske jegeren. Den blir laget av verktøysmeden.","tribes_encyclopedia","../../data/tribes/wares/hook_pole/helptexts.lua:4"
"Fisher’s House","Fiskers hus","Build a fisher’s house close to water to get raw fish","Bygg et fiskerhus nærme vann for å skaffe rå fisk","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:64"
"Wheat","Hvete","Flour is produced by the mill out of wheat and is needed in the bakery to produce the tasty Empire bread.","Svartrotmel blir produsert av svartrøtter i møllene. Det blir brukt i bakerier til å lage velsmakende brød.","tribes_encyclopedia","../../data/tribes/wares/flour/helptexts.lua:4"
"High Tower","Høyt tårn","Your high tower discovered an aggressor.","Det høye tårnet ditt oppdaget en motstander.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower_high/init.lua:38"
"High Tower","Høyt tårn","Your high tower is under attack.","Det høye tårnet ditt blir angrepet.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower_high/init.lua:39"
"Empire","Imperiet","The river has always provided food and communication. This time, eight empires will fight for control over this land.","Elven har alltid vært grunnlag for mat og kommunikasjon. Denne gangen kjemper åtte imperier om herredømmet i dette området.","maps","../../data/maps/The_Nile_v2.wmf/elemental:10"
"Empire","Imperiet","Flour is produced by the mill out of wheat and is needed in the bakery to produce the tasty Empire bread.","Svartrotmel blir produsert av svartrøtter i møllene. Det blir brukt i bakerier til å lage velsmakende brød.","tribes_encyclopedia","../../data/tribes/wares/flour/helptexts.lua:4"
"Hunter’s House","Jegers hus","Build a hunter’s house to get raw meat","Bygg et jegerhus for å skaffe rått kjøtt","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:63"
"Meat","Kjøtt","This hook pole is used by the smoker to suspend all the meat and fish from the top of the smokery. It is created by the toolsmith.","Denne buen blir brukt av den atlantiske jegeren. Den blir laget av verktøysmeden.","tribes_encyclopedia","../../data/tribes/wares/hook_pole/helptexts.lua:4"
"Small Tower","Lite tårn","Your small tower discovered an aggressor.","Det lille tårnet ditt oppdaget en motstander.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower_small/init.lua:41"
"Small Tower","Lite tårn","Your small tower is under attack.","Det lille tårnet ditt blir angrepet.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower_small/init.lua:42"
