"glossary_term","glossary_translation","source","target","file","location"
"Amalea","Amalee'","Sire, Amalea is right about the resources. Therefore I correct myself. We should only build an outpost as this is the most effective military building.","Mienheer, Amalee’ hett Recht över de Materialien. Ick änner mienen Raad. Wi sallen blot eene Butenstee bauen, wat de goodkopenste Soldateree-Boo is.","scenario_emp03.wmf","../../data/campaigns/emp03.wmf/scripting/texts.lua:249"
"Amalea","Amalee'","I expect that Saledus and Amalea are deeply delighted as well.","Ick gloov, Saledus un Amalee’ sünd ok unbannig bliede.","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:210"
"Amalea","Amalee'","Oh no! Amalea is right. In fact, I can’t see any productivity at all. And the road network seems to be completely in shambles as well. Who might be responsible for this chaos?","Och nee! Amalee’ hett recht. Ick kann överhoopt keene Wöörde sehn. Un dat Stratennett is ok heel un daal in ’t Wilde. Well is wull för deeses Dörnanner verantwoordelk?","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:248"
"starting point","Anfangs-Position","This is a somewhat technical map, and it is best suited for two or three human players. Coal is hard to find – consider making some. There is gold near the starting point – do you see it?","Deese Kaart is wat unnatürelk, un ’t is am besten för twee of dree Minsken as Spelers. Köhl to finnen is swaar – villicht maakst du beter sülvst welke. ’t gifft Gold dicht bi de Anfangs-Stee – süchst du ’t?","maps","../../data/maps/Fellowships.wmf/elemental:11"
"starting point","Anfangs-Position","I am really worried about the weakness of our army. We should start to increase our military power. As a starting point, we should recruit at least ten new soldiers.","De Swackde vun uns’ Soldateree is leep slimm. Wi mutten begpnnen, uns’ Soldateree-Macht to verbetern. Toeerst laat uns teihn neje Soldaten anhüren.","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:674"
"starting position","Anfangs-Stee","Red player is close to the ores, but has little fertile terrain. Yellow player has plenty of good land, but must move far from his starting position to find ores. Blue player takes the middle ground – he has some fertile land and is not too far away from the resources.","De rode Speler is dicht an de Kluten, hett aver haast keene Eer, waar wat wasst. De gele Speler hett vööl godes Land, mutt aver wied weg söken, um Kluten to kriegen. De blaue Speler is daartüsken – he hett een bietje früchtbares Land un is nich so wied weg vun de Mineraalen.","maps","../../data/maps/Comet_Island.wmf/elemental:11"
"Chieftain","Anföhrer","Peace, Chieftain Reebaud! I will start with the colonization of the island straight away.","Free, Mienheer Reebaud! Ick fang stracks mit de Besiedeln vun de Hallig an.","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:147"
"Chieftain","Anföhrer","With respect, Chieftain, please be not so hasty! The enemies are very strong, and I’m still not convinced we can defeat them. I’d prefer not to send any soldiers into a battle they will likely lose. I’d prefer to wait a bit longer until we can certainly beat the enemy without losing soldiers.","Mit Respekt, Mienheer, wees bidde nich so haastig! De Feinde sünd unbannig machtig, un ick gloov noch nich, dat wi se manntjen könen. Ick will nich geern Soldaten in eene Slacht schicken, de se wahrschienelk verlesen. Ick will lever een bietje wachten, bit wi de Feind wiss sünner Starvfallen manntjen könen.","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:355"
"Attack","Angriff","According to our fishermen he is locked up in the stronghold on the island. We should use the knowledge about shipbuilding that we took from Törver to build ships and attack their positions.","Uns’ Fiskers seggen, dat he in eener Schanz up de Insel insperrt is. Wi sallen dat Weten över dat Schippebauen bruken, wat wi vun Törver lehrt hebben, um Schippen to bauen un hör Schanz antogriepen.","map_along_the_river.wmf","../../data/maps/SP_Scenarios/Along_The_River.wmf/scripting/texts.lua:127"
"Attack","Angriff","To attack an enemy, you must click on the door of an adversary’s military building. A menu will pop up allowing you to select the number of soldiers that should attack. When you are ready with setting the number, click on the cross (‘Start Attack’).","Um eenen Feind antogriepen, klick de Döör vun eenem Soldateree-Boo vun dienem Feind an. Een Fenster kummt lett sik sehn, waar du utkören sallst, wo völe Soldaten angriepen sallen. Wenn du de Tahl sett hest, klick dat Krüüz (»Angriepen«) an.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:139"
"Attack","Angriff","Three weeks later, I returned to Fremil to speak with our king. He was furious at the Barbarians, yet forbade any attack on these tribes. He believed that our army was too weak to survive in a war against the Barbarians.","Dree Weken naher was ick torügg in Freemilt, um mit de König to spreken. He was güünsk över de Willen Lüü, versee mir aver, deese Völker antogriepen. He meende, uns’ Soldateree is to swack, deese Willen Lüü im Krieg to manntjen.","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:87"
"Attack","Angriff","Sire, I fear we are not safe in this foreign land. Who knows what terrible creatures live beyond this forest, in that mighty desert? What if these creatures enter the woods and await the time to attack us?","Mienheer, mi is bang, dat wi in deesem frömden Land nich seker sünd. Well weet, wat för grieselke Deerten achtern de Wald in de gewaltige Wüüst leven? Wat wenn deese Beesten de Wald betreden un uns angriepen willen?","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:126"
