"glossary_term","glossary_translation","source","target","file","location"
"Attack","Aanval","Three weeks later, I returned to Fremil to speak with our king. He was furious at the Barbarians, yet forbade any attack on these tribes. He believed that our army was too weak to survive in a war against the Barbarians.","Drie weken later kwam ik terug in Fremil om te praten met onze koning. Hij was razend op de Barbaren, maar toch stond hij niet toe om een van de stammen aan te vallen. Hij geloofde dat ons leger te zwak was om een oorlog met de barbaren te kunnen weerstaan.","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:87"
"Attack","Aanval","Sire, I fear we are not safe in this foreign land. Who knows what terrible creatures live beyond this forest, in that mighty desert? What if these creatures enter the woods and await the time to attack us?","Sire, ik vrees dat we niet veilig zijn in dit exotische land. Wie weet wat voor verschrikkelijke wezens er voorbij dit bos leven, in die grootse woestijn? Wat als deze schepsels de bossen betreden en de tijd afwachten om ons aan te vallen?","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:126"
"Attack","Aanval","I am really afraid, because we are completely unprepared should the Barbarians decide to attack us.","De situatie is erg zorgwekkend, we zijn namelijk volledig onvoorbereid in het geval de Barbaren zouden besluiten ons aan te vallen.","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:267"
"Attack","Aanval","When you are expanding into no man’s land, you can make your buildings prefer rookies. When you are planning to attack, send heroes into that region. Conquered buildings always prefer heroes.","Wanneer je je grondgebied uitbreidt met onbetwist gebied kan je de voorkeur van je militaire gebouwen in dat gebied instellen op groentjes.  Wanneer je van plan bent om aan te vallen, stuur dan sterke soldaten naar je gebouwen daar.  Veroverde militaire constructies verkiezen altijd helden zolang je niets verandert.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:191"
"Al’thunran","Al'thunran","When Chat’Karuth died, he was an old man, father to three strong and ambitious sons, and warlord to an army that could match any enemy willing to rise against the ancient forests. Though at the end of his glorious reign, Chat’Karuth chose his eldest son, Thron, to succeed him as the tribe’s warlord – a decision that left his two brothers unsatisfied. The old warlord knew that. As his father instructed him, Thron left the capital of Al’thunran, the home of the Throne Among the Trees, and withdrew his forces to the high hills where he buried the corpse of his father. There he swore to the gods and his father’s spirit that he’d return to re-established order. While his brothers have raged blind war against Thron and the few forces he left to secure the borders of Al’thunran, the young warlord seeks to reunite his ambitious brothers and force the tribes to march once again under a common banner.","Toen Chat’Karuth stierf was hij een oude man, vader van drie sterke, ambitieuze zonen en krijgsheer van een leger dat elke vijand aankon die zich tegen de oeroude bossen had willen keren.  Aan het einde van zijn glorieuze heerschappij wees Chat’Karuth zijn oudste zoon, Thron, aan als opvolger om de stam te leiden – een besluit waar zijn twee broers geen genoegen mee namen.  De oude krijgsheer wist dat.  Zoals zijn vader hem gebood verliet Thron de hoofdstad Al’thunran en de Troon onder de Bomen, en trok zijn strijdkrachten terug naar de hoge heuvels waar hij het lichaam van zijn vader begroef.  Daar zwoer hij aan de goden en de geest van zijn vader dat hij zou terugkeren om opnieuw orde te brengen.  Terwijl zijn broers een blinde strijd voeren tegen Thron en de weinige soldaten die hij achterliet om de grenzen van Al’thunran te bewaken smeedt de jonge krijgsheer plannen om zijn ambitieuze broers te herenigen en de stammen opnieuw onder hetzelfde vaandel te doen marcheren.","maps","../../data/campaigns/campaigns.lua:52"
"Al’thunran","Al'thunran","I have sent men to meet with Kalitath in his fortress. He has barricaded the former main entrance to the capital and is trying to set up a siege ring around Al’thunran. He will not let anyone enter or leave the city while the ring is intact. Until now, he has not answered any of my messages. But the time I spend waiting won’t be lost. I will train my soldiers further and prepare for battle.","Ik heb mensen gestuurd om met Kalitath te praten in zijn burcht. Hij heeft de voormalige toegang tot de hoofdstad gebarricadeerd en probeert een belegeringsring rond Al’thunran op te zetten. Hij zal niemand de stad in of uit laten gaan zolang de ring intact is. Tot nu heeft hij nog geen van mijn berichten beantwoord. Maar de tijd die ik wacht zal niet verloren zijn. Ik zal mijn soldaten verder trainen en me klaar maken voor de strijd.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:202"
"Al’thunran","Al'thunran","So be it, the generals are out and about arranging my troops, and Boldreth himself will lead the first strike. I will ride by his side, to free Al’thunran of this war and return peace to our capital.","Zo zij het, de generaals zijn mijn troepen aan het oprichten en Boldreth zelf zal de eerste aanval leiden. Ik zal aan zijn zijde meerijden, om Al’thunran van deze oorlog te bevrijden en vrede terug te brengen naar onze hoofdstad.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:341"
"Archive","Archief","You have two messages at the moment. This one, which you are currently reading, and the one that informed you that a new headquarters was added to your economy. Let’s learn how to archive messages:","Op dit moment heb je twee berichten: het bericht dat je nu ziet, en het bericht dat je kreeg toen het nieuwe hoofdkwartier werd toegevoegd aan je economie. Laten we bekijken hoe je berichten kunt archiveren:","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:501"
"Archive","Archief","Manage your messages more efficiently: press ‘%1%’ to access the messages window, then use ‘%2%’ for Go To, and the ‘%3%’ key to archive messages.","Beheer je berichten efficiënter: druk '%1%' om het berichtenvenster te bekijken, daarna '%2%' van Ga Naar, en '%3%' om berichten te archiveren.","texts","../../data/txts/tips/general_game.lua:40"
"Atlantean","Atlantisch","As no Atlantean likes raw fish, smoking it in a smokery is the most common way to make it edible.","Omdat geen Atlantiër rouwe vis lust wordt het meestal gerookt in de rokerij om het eetbaar te maken.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:485"
"Atlantean","Atlantisch","This corn is processed in the mill into fine cornmeal that every Atlantean baker needs for a good bread. Also horse and spider farms need to be provided with corn.","Deze maïs wordt in de molen verwerkt tot fijne maïsmeel die elke bakker van de Atlantiërs nodig heeft voor een goed brood. Ook paarden- en spinnenboerderijen moeten van maïs voorzien worden.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:526"
"Atlantean","Atlantisch","This bow is used by the Atlantean hunter. It is produced by the toolsmith.","Deze boog wordt gebruikt door de jager van de Atlantiërs. Hij wordt gemaakt door de werktuigsmid.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:730"
"Autosave","Autosave","Maximum number of autosave files:","Maximum aantal automatisch opgeslagen spellen:","widelands","../../src/ui_fsmenu/options.cc:225"
"Barbarian","Barbaars","By the Gods! One of our scouts has discovered a mighty castle at the center of the old plateau. The castle must be quite old and seems to have been built in a foreign style. It’s quite obvious that this is not barbarian craft.","Bij de Goden! Één van onze verkenners heeft een groots kasteel in het midden van het oude plateau gevonden. Het kasteel moet redelijk oud zijn en lijkt in een uitheemse stijl te zijn gebouwd. Het is duidelijk dat dit geen werk van barbaren is.","map_the_green_plateau.wmf","../../data/maps/SP_Scenarios/The_Green_Plateau.wmf/scripting/texts.lua:67"
"Barbarian","Barbaars","Another Barbarian – edited by king_of_nowhere","Another Barbarian – aangepast door king_of_nowhere","maps","../../data/maps/Last_Bastion.wmf/elemental:9"
"Barbarian","Barbaars","You have completed the last mission of the Barbarian tutorial campaign. You may continue playing if you wish, otherwise move on to the next campaign.","Je hebt de laatste missie van de campagne van de Barbaren voltooid.  Je kan verder spelen of doorgaan met de volgende campagne.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:333"
"Barbarian","Barbaars","What has become of our Empire? I really ask this question – why did my king forbid me from fighting against that monstrous Barbarian tribe, who first acted as a peaceful friend and then attacked my army in the darkest night?","Wat is er geworden van ons Imperium? Ik stel met recht deze vraag: waarom weerhield mijn koning mij ervan te vechten tegen die monsterlijke barbarenstam die zich eerst voordeed als een vredelievende vriend en daarna mijn leger in de donkerste nacht aanviel?","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:78"
"Barbarian","Barbaars","With an army of 150 men, I was assigned to patrol on our northern frontier, which lies near the Galdin Mountains in a great, beautiful and ancient forest. Soon, we met a Barbarian tribe, which at first was friendly. A few of my men even traded with them and their children came to us, to admire our clean and tidy uniforms and weapons.","Ik had, met een leger van honderdvijftig man, de taak toegewezen gekregen om de noordelijke kant van ons grensgebied te patrouilleren, gelegen bij de Galdinbergen in een groot, prachtig en zeer oud bos. Al snel kwamen we een barbarenstam tegen, die in eerste instantie vriendelijk was. Sommige van mijn mannen handelden zelfs met ze en hun kinderen kwamen bij ons om onze schone en nette uniformen en wapens te bewonderen.","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:81"
"Barbarian","Barbaars","Destroy the Barbarian tribe","Vernietig de barbarenstam","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:94"
"Barbarian","Barbaars","Destroy the Barbarian Tribe","Vernietig de barbarenstam","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:96"
"Barbarian","Barbaars","Attack and completely destroy the Barbarian buildings as soon as you have enough soldiers.","Val de barbarengebouwen aan en sloop ze volledig zodra je voldoende soldaten hebt.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:98"
"Barbarian","Barbaars","Build a fortress on the peninsula (near where the Barbarian headquarters stood before). Finally, this will avoid new settlements of other tribes in that region.","Bouw tenslotte een vesting op het schiereiland (vlakbij de locatie van het hoofdkwartier van de barbaren) om nieuwe nederzettingen van andere stammen in die regio te voorkomen.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:99"
"Barbarian","Barbaars","There are still a few Barbarians hiding on our island, but I am sure that we will find them soon. Every Barbarian who doesn’t attack us will be put in a boat with the other peaceful ones, and sent back to their country.","Er verbergen zich nog enkele Barbaren op ons eiland, maar ik weet zeker dat we die snel zullen vinden. Elke Barbaar die ons niet aanvalt zal op een boot gezet worden met de andere vreedzamen, ze zullen worden teruggestuurd naar hun land.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:267"
"Barbarian","Barbaars","Evade is the chance that the soldier is able to dodge an attack. A level 0 Barbarian has a %1%%% chance to evade an attack, and this increases in steps of %2%%% for each level.","De kans dat de militair een aanval kan afwenden.  Voor Barbaren is dit %1%%% op niveau 0, hun kans om te ontwijken stijgt met %2%%% per niveau.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:57"
"Barbarian","Barbaars","‘When the Barbarian was created,<br>this was the first thing that he stated:<br>“You want me fighting without fear?<br>Then you should create some beer!”’","‘Toen de Barbaar werd gecreëerd,<br>was dit het eerste dat hij zei:<br>“Wil je dat ik vecht zonder angst?<br>Dan moet je wat bier maken!”’","tribes_encyclopedia","../../data/tribes/initialization/barbarians/units.lua:1317"
"Barbarian","Barbaars","‘Fine cloth and jewelry mean nothing to a true Barbarian.<br>But a noble sail in the wind will please his eyes.’","'Fijne stoffen en juwelen betekenen niets voor een echte Barbaar.<br>Maar een nobel zeil in de wind zal zijn ogen behagen.'","tribes_encyclopedia","../../data/tribes/initialization/barbarians/units.lua:1775"
"Farm","Boerderij","The mountains have an abundance of flat ground. Unfortunately, most of it is vertical – use the little building space you have wisely. A fortress at the mouth of a narrow mountain pass can be a formidable obstacle to an enemy army – use the terrain to your advantage. Chop all trees and expand wherever you can – it’s the only way to find all the precious farm spaces.","Aan de bergen ontbreekt het vlakke grond. Erger nog, het meeste is vertikaal – gebruik het kleine beetje bouw ruimte dat je hebt wijselijk. Een kasteel aan het begin van een smalle bergpas kan een enorm obstakel zijn voor een vijandelijk leger – gebruik je omgeving in je voordeel. Kap alle bomen en breidt uit waar je kan – het is je enige mogelijkheid om die kostbare landbouwgrond te vinden.","maps","../../data/maps/Dolomites.wmf/elemental:11"
"Fur Garment","Bont Kledingstuk","It is produced by the furnace. Tools and weapons are made of iron. It is also used as jewellery for fur garment armor to give it a silver shine.","Het wordt geproduceerd door de smeltoven. Gereedschap en wapens worden gemaakt van ijzer. Het wordt ook gebruikt als sieraden voor kurassen van bont om het een zilveren glans te geven.","tribes_encyclopedia","../../data/tribes/initialization/frisians/units.lua:335"
"Fur Garment","Bont Kledingstuk","This is the basic weapon of the Frisian soldiers. Together with a fur garment, it makes up the equipment of young soldiers. Short swords are produced by the small armor smithy.","Dit is het basiswapen van de Friese soldaten. Samen met een bontkledingstuk vormt het de uitrusting van jonge soldaten. Korte zwaarden worden geproduceerd door de kleine harnassmederij.","tribes_encyclopedia","../../data/tribes/initialization/frisians/units.lua:537"
"Log","Boomstam","‘The log cabin was so small that two men could hardly live there. But we were young and carefree. We just relished our freedom and the responsibility as an outpost.’","‘De blokhut was zo klein dat er nauwelijks twee mannen in konden wonen. Maar we waren jong en onbezorgd. We genoten van onze vrijheid en de verantwoordelijkheid als voorpost.’","tribes_encyclopedia","../../data/tribes/initialization/barbarians/units.lua:1686"
"Log","Boomstam","In order to use a registered account, you need an account on the Widelands website. Please log in at %s and set an online gaming password on your profile page.","Om een geregistreerd account te gebruiken, heb je een account nodig op de Widelands website. Log in op %s en stel op je profielpagina een wachtwoord in voor online gaming.","widelands","../../src/ui_fsmenu/addons/login_box.cc:75 ../../src/ui_fsmenu/login_box.cc:59"
"Forester’s House","Boswachtershuis","Build a forester’s house to preserve the wood resources of this island.","Bouw een boswachterhuis om de beschikbaarheid van hout op het eiland te behouden.","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:55"
"Building Space","Bouwlocatie","The mountains have an abundance of flat ground. Unfortunately, most of it is vertical – use the little building space you have wisely. A fortress at the mouth of a narrow mountain pass can be a formidable obstacle to an enemy army – use the terrain to your advantage. Chop all trees and expand wherever you can – it’s the only way to find all the precious farm spaces.","Aan de bergen ontbreekt het vlakke grond. Erger nog, het meeste is vertikaal – gebruik het kleine beetje bouw ruimte dat je hebt wijselijk. Een kasteel aan het begin van een smalle bergpas kan een enorm obstakel zijn voor een vijandelijk leger – gebruik je omgeving in je voordeel. Kap alle bomen en breidt uit waar je kan – het is je enige mogelijkheid om die kostbare landbouwgrond te vinden.","maps","../../data/maps/Dolomites.wmf/elemental:11"
"Builder","Bouwvakker","Praise Satul! Ostur, the young ship builder did it. We have three ships – never have I seen sturdier ones – with enough room to carry all of us and some wares too. And this rescue came just in time: Lutas is about to swallow the rest of this island, the water rises faster by the hour. But we can make our escape now and start over in some country farther away…","Satul zij geprezen! Het is Ostur, de jonge scheepsbouwer, gelukt. We hebben drie schepen – nooit heb ik er sterkere gezien – met genoeg ruimte om ons allen mee te nemen en ook wat goederen. En deze redding kwam net op tijd: Lutas dreigt de rest van dit eiland op te slokken, het water stijgt elk uur sneller. Maar we kunnen nu ontsnappen en opnieuw beginnen in een ver afgelegen land…","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:488"
