"glossary_term","glossary_translation","source","target","file","location"
"Al’thunran","Al'thunran","But they fear that the war around Al’thunran will set an end to this life. Therefore, they have decided to join us, hoping that we can help each other.","Boją się jednak, że wojna wokół Al’thunran przyniesie koniec ich spokojnemu życiu. Postanowili zatem do nas dołączyć w nadziei, że pomożemy sobie nawzajem.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:551"
"Al’thunran","Al'thunran","I have sent men to meet with Kalitath in his fortress. He has barricaded the former main entrance to the capital and is trying to set up a siege ring around Al’thunran. He will not let anyone enter or leave the city while the ring is intact. Until now, he has not answered any of my messages. But the time I spend waiting won’t be lost. I will train my soldiers further and prepare for battle.","Wysłałem kilku ludzi, aby spotkali się z Kalitathem w jego fortecy. Zabarykadował się w dawnym głównym wejściu do stolicy i próbuje oblegać Al’thunran. Nie pozwoli nikomu wejść ani wyjść z miasta, dopóki pierścień jest cały. Póki co jeszcze nie odpowiedział na żadną z moich wiadomości. Ale nie będę tracił czasu czekając. Zdążę lepiej wytrenować moich żołnierzy i przygotuję się do bitwy.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:208"
"Al’thunran","Al'thunran","So be it, the generals are out and about arranging my troops, and Boldreth himself will lead the first strike. I will ride by his side, to free Al’thunran of this war and return peace to our capital.","Niech tak będzie. Generałowie wyruszyli celem rozstawienia moich wojsk, a Boldreth osobiście przeprowadzi pierwsze uderzenie. Będę jechał u jego boku, by uwolnić Al’thunran od tej wojny i znów przynieść pokój naszej stolicy.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:346"
"Archive","Archiwum","You have two messages at the moment. This one, which you are currently reading, and the one that informed you that a new headquarters was added to your economy. Let’s learn how to archive messages: first, select the message that you wish to archive by clicking on it in the list. Then, click the","Obecnie masz dwie wiadomości: tę, którą czytasz, i drugą, która poinformowała cię, że zyskałeś nową kwaterę główną. Nauczymy się teraz, jak archiwizować wiadomości: możesz je zaznaczyć klikając na nie. Następnie możesz kliknąć","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:378"
"Archive","Archiwum","Manage your messages more efficiently: press ‘N’ for News to access the messages window, then use ‘G’ for Go To, and the Delete key to archive messages.","Organizuj wiadomości efektywnie: klawisz "N" otwiera okno wiadomości, klawisze "G" (go to) razem z Delete archiwizują wiadomości.","texts","../../data/txts/tips/general_game.lua:39"
"Battle Arena","Arena bitewna","Build a battle arena and a training camp to the west of the mountains.","Zbuduj arenę bitewną i obóz szkoleniowy na zachód od gór.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:97"
"Battle Arena","Arena bitewna","Build a barracks, a battle arena and a training camp to the west of the mountains.","Zbuduj koszary, arenę bitewną i obóz szkoleniowy na zachód od gór.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:117"
"Battle Arena","Arena bitewna","While we’re waiting for the battle arena, you’ll probably notice some soldiers walking around. They are automatically exchanged from time to time. I’ll teach you about that later.","Podczas gdy czekamy na arenę bitewną, prawdopodobnie zauważyłeś przechadzających się żołnierzy. Są oni od czasu do czasu wymieniani automatycznie. Wyjaśnię ci to później.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:74"
"Battle Arena","Arena bitewna","Build a battle arena. It is a big building.","Zbuduj arenę bitewną. To duży budynek.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:80"
"Battle Arena","Arena bitewna","The Battle Arena Has Been Constructed","Wybudowano arenę bitewną","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:89"
"Battle Arena","Arena bitewna","There is a second training site: the training camp. It is a big building too, and to complement the battle arena, it trains attack and health (remember, the Barbarian soldiers cannot be trained in defense).","Jest też drugi budynek szkoleniowy: obóz szkoleniowy. Jest to również duży budynek, który uzupełnia arenę bitewną szkoląc atak i zdrowie (pamiętaj, żołnierze Barbarzyńcy nie mogą być szkoleni w obronie).","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:106"
"Battle Arena","Arena bitewna","To train in the training camp, our soldiers need food like in the battle arena, but no strong beer. Instead, they need different axes for attack training and helmets for health training.","Do treningu w obozie szkoleniowym potrzebne będzie naszym żołnierzom, tak jak na arenie bitewnej, jedzenie. Zamiast mocnego piwa potrzebne im będą różne typy toporów do ćwiczenia ataku oraz hełmów do ćwiczenia zdrowia.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:123"
"Battle Arena","Arena bitewna","Only this beer is acceptable for the soldiers in a battle arena. Some say that the whole power of the Barbarians lies in this ale. It helps to train the soldiers’ evade level from 0 to 1 to 2. Strong beer is also used in big inns to prepare meals.","Tylko to piwo jest uznawane przez żołnierzy na arenie bitewnej. Niektórzy mówią, że to właśnie w tym trunku zamyka się cała potęga Barbarzyńców. Wykorzystuje się je do ćwiczenia umiejętności uniku żołnierzy z poziomu 0 do poziomów 1 i 2. Używane jest także w dużych karczmach do przyrządzania posiłków.","tribes_encyclopedia","../../data/tribes/wares/beer_strong/helptexts.lua:4"
"Attack","Atak","Forges tridents to equip the soldiers and to train their attack in the dungeon.","Wykuwa trójzęby dostarczane żołnierzom jako wyposażenie i do treningu w podziemiach.","tribes_encyclopedia","../../data/tribes/buildings/productionsites/atlanteans/weaponsmithy/helptexts.lua:16"
"Atlantis","Atlantyda","After landing on a mysterious island close to Atlantis, the remaining Atlanteans struggle to make a new home for themselves.","Po wylądowaniu na tajemniczej wyspie koło Atlantydy, ocaleli Atlantydzi starają się stworzyć dla siebie nowy dom.","maps","../../data/campaigns/atl01.wmf/elemental:11"
"Atlantis","Atlantyda","On the hidden and lost island of Atlantis, a proud tribe settled since the world was very young. Ruled by the bloodline of King Ajanthul – the first human to be empowered by the sea god Lutas to breathe above sea level – and the wise clerics, who provided the link to Lutas – they prospered and became civilized.","Na ukrytej i zapomnianej wyspie Atlantydzie, kiedy świat był jeszcze bardzo młody, osiedlił się dumny naród. Rządzony przez dynastię Króla Ajanthula - pierwszego człowieka, któremu bóg morza Lutas pozwolił oddychać ponad poziomem wody - i mędrców, kapłanów zapewniających połączenie z Lutasem, stał się wysoką cywilizacją.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:148"
"Atlantis","Atlantyda","This story is taking place during the reign of King Askandor, the 43rd successor of King Ajanthul. He had been a good king, ruling Atlantis with wisdom and foresight. But with age, he became afraid of dying and so he began looking for a cure for death even though most clerics warned him against it. Some said that endless life was only for the gods and that to seek for it was forbidden.","Ta historia wydarzyła się podczas panowania Króla Askandora, czterdziestego trzeciego następcy Króla Ajanthula. Był dobrym królem, mądrze i przyszłościowo rządzącym Atlantydą. Ale z wiekiem wystraszył się śmierci i rozpoczął poszukiwania nieśmiertelności, mimo ostrzeżeń kapłanów. Niektórzy mówili, że wieczne życie jest tylko dla bogów i poszukiwanie go jest zabronione.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:150"
"Atlantis","Atlantyda","But not even this changed the mind of the god. The water kept on rising. Nearly driven insane by guilt, pain and anger, Jundlina became a heretic: Secretly, she gathered people of the common folk who were not in line with the decision of the clerics to accept the god’s will. Together with them, she set the temple on fire and stole a ship to flee from the god’s influence over Atlantis. This small group started praying to Satul, the fire god and the worst enemy of Lutas.","Ale nawet to nie zmieniło zdania boga. Poziom wody wciąż rósł. Niemal doprowadzona do szaleństwa przez ból, poczucie winy i gniew Jundlina stała się heretykiem: sekretnie gromadziła ludzi nie zgadzających się z opinią kapłanów, aby pogodzić się z losem. Razem z nimi podpaliła świątynię i ukradła statek, aby uciec przed wpływem boga na Atlantydę. Ta mała grupa zaczęła czcić Satula, boga ognia i najgorszego wroga Lutasa.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:172"
