"glossary_term","glossary_translation","source","target","file","location"
"Al’thunran","Al’thunran","But they fear that the war around Al’thunran will set an end to this life. Therefore, they have decided to join us, hoping that we can help each other.","Mas temem que a guerra cerca de Al'thunran vai acabar com esta vida. Portanto, decidiram de juntarse connosco, esperando que nos poderemos ajudar mutualmente.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:534"
"Atlanteans","Atlantas","After landing on a mysterious island close to Atlantis, the remaining Atlanteans struggle to make a new home for themselves.","Depois de amararem numa ilha misteriosa perto da Atlântida, o que resta do povo Atlântica luta para tornar o novo lugar a sua nova casa.","maps","../../data/campaigns/atl01.wmf/elemental:11"
"Atlantis","Atlântida","But not even this changed the mind of the god. The water kept on rising. Nearly driven insane by guilt, pain and anger, Jundlina became a heretic: Secretly, she gathered people of the common folk who were not in line with the decision of the clerics to accept the god’s will. Together with them, she set the temple on fire and stole a ship to flee from the god’s influence over Atlantis. This small group started praying to Satul, the fire god and the worst enemy of Lutas.","Mas nem isto mudou a mente do Deus. A água continuava a subir. Quase enlouquecendo de culpa, dor e raiva, Jundlina tornou-se herege: Secretamente, reuniu os gentis que não estavam de acordo com a decisão do clero em aceitar a vontade divina. Juntos, queimaram o templo e roubaram um navio para fugir da influência do Deus Atlanta. Este pequeno grupo passou a adorar Satul, o Deus do fogo e o maior inimigo de Lutas.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:170"
"Boldreth","Bolderano","Brave Boldreth steps to your side…","O carajoso Boldreth avança-se para ti…","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:300"
"Woodcutter’s House","Cabana do Lenhador","Build at least one woodcutter’s house and two forester’s houses to start producing logs, and a reed farm to start growing reed.","Constrói pelo menos uma cabana de lenhador e duas de silvicultores para começar a produzir troncos, e um caniçal para produzir canas.","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:28"
"Woodcutter’s House","Cabana do Lenhador","Always build a forester’s and a woodcutter’s house, so you will not run out of logs.","Constrói sempre uma casa de silvicultor e de madeireiro, para que não fiques sem madeira.","texts","../../data/txts/tips/atlanteans.lua:8"
"Woodcutter’s House","Cabana do Lenhador","The woodcutter working at this woodcutter’s house can’t find any trees in his work area. You should consider dismantling or destroying the building or building a forester’s house.","O madeireiro nesta casa do madeireiro não encontrou árvores na sua área de trabalho. Considera desmontar ou destruir o edifício ou construir uma casa do silvicultor.","tribes","../../data/tribes/buildings/productionsites/atlanteans/woodcutters_house/init.lua:48"
"Woodcutter’s House","Cabana do Lenhador","The woodcutter working at this woodcutter’s house can’t find any trees in his work area. You should consider dismantling or destroying the building or building a forester’s house.","O madeireiro nesta casa do madeireiro não encontrou árvores na sua área de trabalho. Considera desmontar ou destruir o edifício ou construir uma casa do silvicultor.","tribes","../../data/tribes/buildings/productionsites/frisians/woodcutters_house/init.lua:61"
"Woodcutter’s House","Cabana do Lenhador","The woodcutter’s house needs trees to fell within the work area.","A casa do madeireiro necessita de árvores derrubadas na área de trabalho.","tribes_encyclopedia","../../data/tribes/initialization/atlanteans/units.lua:1476"
"Reed Farm","Caniçal","I noticed we have been short of reed for a while now. Our buildings seem to need quite a lot of it. We should build another reed farm or two. Reed is also used for making fishing nets and other tools; therefore, resolving this shortage should be a priority.","Vi que estamos com falta de junco por um momento. Os nossos edifícios parecem exigir muito. Deveríamos construir mas uma ou duas quintas de colmo. Ele também serve para fabricar as redes de pesca e outras ferramentas ; é portanto uma prioridade resolver esta carência.","scenario_fri01.wmf","../../data/campaigns/fri01.wmf/scripting/texts.lua:187"
