"glossary_term","glossary_translation","source","target","file","location"
"Armor","Amadura","Produces armor for the soldiers.","Produz armaduras para os soldados.","tribes_encyclopedia","../../data/tribes/workers/atlanteans/armorsmith/helptexts.lua:5"
"Armor","Amadura","Produces armor for the soldiers.","Produz armaduras para os soldados.","tribes_encyclopedia","../../data/tribes/workers/empire/armorsmith/helptexts.lua:3"
"Battle Arena","Arena de Batalha","If all needed wares are delivered in time, a battle arena can train evade for one soldier from 0 to the highest level in %1$s and %2$s on average.","Se todos os recursos forem entregues a tempo, esta construção pode produzir um pão sírio a cada %1$s e %2$s em média.","tribes_encyclopedia","../../data/tribes/buildings/trainingsites/barbarians/battlearena/helptexts.lua:26"
"Grout","Argamassa","If all needed wares are delivered in time, this building can produce grout in about %s on average.","Se todos os recursos forem entregues a tempo, esta construção pode produzir um pão sírio a cada %s segundos em média.","tribes_encyclopedia","../../data/tribes/buildings/productionsites/barbarians/lime_kiln/helptexts.lua:23"
"Warehouse","Armazém","May Satul warm you, Jundlina. My name is Opol, and I am the highest weaver of the guild abandoning Atlantis and Lutas with you. I come with sad news indeed: we have no more spidercloth. Not a single piece is to be found in our warehouses. Could you not help the weavers’ guild by arranging the building of a weaving mill and a spider farm? The spiders deliver the finest silk and we will produce the finest spidercloth from it.","Que Satul te aqueça, Jundlina. Meu nome é Opol, e eu sou o maior tecelão da guilda a abandonar Atlantis e Lutas com você. Eu trago más notícias, entretanto. Nós não temos mais tecidos. Nem ao menos uma peça pôde ser achada em nossos armazéns. Não poderia você ajudar os tecelões recuperando a tecelagem e a fazenda de aranhas? As aranhas produzem a mais refinada seda e iremos produzir os melhores tecidos com elas.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:268"
"Warehouse","Armazém","Swift now, we need a house for Ostur next to the lake, and we need planks, logs and spidercloth for the construction there. Forget about everything else, we need those wares on top of the mountain before our warehouses are all swallowed by the sea.","Imediatemente, precisamos de uma casa para Ostur perto do lago e precisamos de tábuas, troncos e tecido de teia para a construção lá. Esqueça todo o resto, precisamos destes bens no topo da montanha antes que nossos armazéns seja engolidos pelo mar.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:464"
"Warehouse","Armazém","You get points for precious wares in your warehouses. The player with the highest number of wares at the end of 4 hours wins the game.","Você recebe pontos pelas preciosas mercadorias que tiver em seus armazéns. O jogador que tiver a maior quantidade de mercadorias ao fim de 4 horas vencerá o jogo.","win_conditions","../../data/scripting/win_conditions/collectors.lua:20"
"Weapon Smithy","Armeiro","The ores have to be smelted at a smelting works before they can be used. The refined materials are then used in the weapon smithy, the armor smithy and the toolsmithy.","Os metais precisam ser derretidos na fundição antes de poderem ser usados. Depois de derretidos, são usados na fabricação de armas, de armaduras e ferramentas.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:88"
"Weapon Smithy","Armeiro","The double trident is one of the best tridents produced by the Atlantean weapon smithy. It is used in a dungeon – together with food – to train soldiers from attack level 2 to level 3.","O tridente duplo é um dos melhores tridentes produzidos pelos Atlantes no ferreiro de armas. É utilizado no calabouço - junto com alimentos - para treinar os soldados para aumentar o ataque do nível 2 para o nível 3.","tribes_encyclopedia","../../data/tribes/wares/trident_double/helptexts.lua:4"
"Weapon Smithy","Armeiro","This is the most dangerous weapon of the Atlantean military. Only the best of the best soldiers may use it. It is produced in the weapon smithy and used in the dungeon – together with food – to train soldiers from attack level 3 to level 4.","Esta é a arma mais perigosa dos militares Atlantes. Somente os melhores entre os melhores soldados podem usá-la. É produzida pelo ferreiro de armas e usado nos calabouços - junto com alimentos - para aumentar o ataque dos soldados do nível 3 para o nível 4.","tribes_encyclopedia","../../data/tribes/wares/trident_heavy_double/helptexts.lua:4"
"Weapon Smithy","Armeiro","This is the basic weapon of the Atlantean soldiers. Together with a tabard, it makes up the equipment of young soldiers. Light tridents are produced in the weapon smithy as are all other tridents.","Esta é a arma básica dos soldados Atlantes. Junto com o tabardo ele é o equipamento dos novos soldados. Tridentes leves são produzidos pelo ferreiro de armas, assim como todos os demais tridentes.","tribes_encyclopedia","../../data/tribes/wares/trident_light/helptexts.lua:4"
"Weapon Smithy","Armeiro","The long trident is the first trident in the training of soldiers. It is produced in the weapon smithy and used in the dungeon – together with food – to train soldiers from attack level 0 to level 1.","O tridente longo é o primeiro tridente usado no treinamento de soldados. É produzido pelo ferreiro de armas e utilizado no calabouço - junto com alimentos - para treinar soldados para aumentar o ataque do nível 0 para o nível 1.","tribes_encyclopedia","../../data/tribes/wares/trident_long/helptexts.lua:4"
"Archive","Arquivo","Manage your messages more efficiently: press ‘N’ for News to access the messages window, then use ‘G’ for Go To, and the Delete key to archive messages.","Gerencie suas mensagens de forma mais eficiente: aperte 'N' para Notícias para acessar a janela de mensagens, entao aperte 'G' para Ir Para e a tecla 'Delete' para arquivar mensagens.","texts","../../data/txts/tips/general_game.lua:39"
"Attack","Ataque","To attack an enemy, you must click on the door of an adversary’s military building. A menu will pop up allowing you to select the number of soldiers that should attack. When you are ready with setting the number, click on the cross (‘Start Attack’).","Para atacar um inimigo tens de clicar na porta do edifício militar do adversário. Abrirá um menu que te permite selecionar a quantidade de soldados que deverão atacar. Quando tiveres escolhido o número clica na cuz ("Atacar").","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:141"
