"glossary_term","glossary_translation","source","target","file","location"
"Autosave","Автосохранение","Maximum number of autosave files:","Максимум файлов автосохранения:","widelands","../../src/ui_fsmenu/options.cc:225"
"Ajanthul","Аджантул","Be greeted, foreigners! I am Angadthur, the King of this miraculous island, a descendant of the legendary King Ajanthul the First of Atlantis himself. Be welcome to me, if you will be our friends!","Привечаю, иноземцы! Я Ангатур, владыка этого чудного острова и потомок легендарного короля Ажантула, первого владыки Атлантиды. Если вы нам друзья, то добро пожаловать!","scenario_fri03.wmf","../../data/campaigns/fri03.wmf/scripting/texts.lua:160"
"Aqua Farm","Акваферма","Build an Aqua Farm to Start Producing Fish","Постройте пруд чтобы начать разводить рыбу","scenario_fri02.wmf","../../data/campaigns/fri02.wmf/scripting/texts.lua:52"
"Aqua Farm","Акваферма","Build an aqua farm to produce fish. The aqua farm needs the holes left by a clay pit nearby to use as ponds to grow fish in. Only a fisher working at an aqua farm can fish from these ponds.","Для разведения рыб нужен пруд. Под пруд пойдут ямы от выработанных глиняных карьеров. Рыбак должен работать вместе с рыбозаводчиком, чтобы ловить рыбу в этом пруду.","scenario_fri02.wmf","../../data/campaigns/fri02.wmf/scripting/texts.lua:53"
"Aqua Farm","Акваферма","Fish are maturing in this pond. A fisher working from an aqua farm will be able to catch them when they are bigger.","В прудах созревает рыба. Рыбак с округи аквафермы будет ловить ее по моменту созревания.","tribes_encyclopedia","../../data/tribes/initialization/frisians/units.lua:1212"
"Aqua Farm","Акваферма","Fish are living in this pond. A fisher working from an aqua farm can catch them as food.","В прудах разводят рыбу. Рыбаки с округи могут ловить ее.","tribes_encyclopedia","../../data/tribes/initialization/frisians/units.lua:1219"
"Aqua Farm","Акваферма","The aqua farm needs holes in the ground that were dug by a clay pit’s worker nearby to use as fishing ponds.","Акваферме, чтобы использовать в качестве рыболовных прудов, нужны ямы в земле. Их роют работники глиняных карьеров, расположенных поблизости.","tribes_encyclopedia","../../data/tribes/initialization/frisians/units.lua:1727"
"Al’thunran","Ал'тунран","When Chat’Karuth died, he was an old man, father to three strong and ambitious sons, and warlord to an army that could match any enemy willing to rise against the ancient forests. Though at the end of his glorious reign, Chat’Karuth chose his eldest son, Thron, to succeed him as the tribe’s warlord – a decision that left his two brothers unsatisfied. The old warlord knew that. As his father instructed him, Thron left the capital of Al’thunran, the home of the Throne Among the Trees, and withdrew his forces to the high hills where he buried the corpse of his father. There he swore to the gods and his father’s spirit that he’d return to re-established order. While his brothers have raged blind war against Thron and the few forces he left to secure the borders of Al’thunran, the young warlord seeks to reunite his ambitious brothers and force the tribes to march once again under a common banner.","Чат'Карут скончался стариком, отцом трех сильных и амбициозных сыновей, и предводителем армии, способной противостоять любому врагу, решившемуся нарушить покой древних лесов. Хотя в конце своего славного царствования, Чат'Карут избрал своего старшего сына, Трона, в качестве наследника и военачальника, это решение оставило его братьев неудовлетворенными. Старый военачальник знал это. Следуя воле своего отца Трон покинул столицу – Аль'Тунран, дом Трона среди Древ, и привел свои войска к высоким холмам, где и похоронил тело своего отца. Там он поклялся богам и духу своего отца, вернуться и восстановить порядок. Не смотря на то, что его братья развязали нелепую войну против Трона и поставленных им  для охраны Аль'Тунрана малочисленных подразделений, молодой военачальник стремится воссоединить своих амбициозных братьев и принудить племена вновь встать под общее знамя.","maps","../../data/campaigns/campaigns.lua:52"
"Al’thunran","Ал'тунран","But they fear that the war around Al’thunran will set an end to this life. Therefore, they have decided to join us, hoping that we can help each other.","Но они боятся, что война положит конец этой спокойной жизни. Поэтому они решили присоединиться к нам, надеясь, что мы поможем друг другу.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:534"
"Al’thunran","Ал'тунран","I have sent men to meet with Kalitath in his fortress. He has barricaded the former main entrance to the capital and is trying to set up a siege ring around Al’thunran. He will not let anyone enter or leave the city while the ring is intact. Until now, he has not answered any of my messages. But the time I spend waiting won’t be lost. I will train my soldiers further and prepare for battle.","Я послал людей на встречу с Калитатом в его крепость. Он забаррикадировал бывший главный вход в столицу и пытается создать осадное кольцо вокруг Аль'тунрана. Он не позволит никому войти или покинуть город, пока осада не прорвана. До сих пор он не ответил ни на одно из моих сообщений. Но время в ожидании не пройдет бесполезно. Я буду тренировать своих солдат и готовиться к битве.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:202"
"Al’thunran","Ал'тунран","I have just spoken to the leader of our patrol. He told me that they found some mountains to the north-east and east of our territory. With a bit of luck this will open up a new chance for rearming our men, because as far as I remember, most of the mountains west of Al’thunran hold coal and some metal ores.","Я только что говорил с лидером нашего патруля. Он сказал мне, что они нашли какие-то горы на северо-востоке и востоке нашей территории. Если повезет, откроются новые возможности для перевооружения наших людей, потому что, как я помню, большинство  гор к западу от Аль'турана содержат уголь и разные металлические руды.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:281"
"diamonds","Алмазы","May Satul warm you, Jundlina. Have you considered mining for resources in the mountains around us? We are running short of quartz and diamonds for our buildings. Also, we could use more iron, gold and especially coal. If we find an ample supply of those commodities, we could start producing weapons and tools; this would help enormously. Of course, we would need smelters, a weapon smithy, an armor smithy and a toolsmithy. And maybe even more.","Да согреет тебя Сатул, Джандлина! Не пора ли начать добычу ископаемых в окружающих горах? У нас все меньше кварца и алмазов для наших зданий. Кроме того, мы нуждаемся в железе, золоте и, особенно, угле. Если мы откроем богатые месторождения этих ископаемых, то сможем наладить производство оружия и инструментов; это было бы бесценно. Конечно, нам понадобятся литейщики, оружейная, бронная и мастерская. И, быть может, не только это.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:301"
"diamonds","Алмазы","Although ports act as warehouses, you should not build more than necessary: they cost quartz, diamonds and gold, which makes them quite expensive.","Несмотря на то, что порты действуют как склады, вы не должны строить больше, чем это необходимо: для их строительства используется кварц, бриллианты и золото, что делает их довольно дорогостоящими.","scenario_tutorial03_seafaring.wmf","../../data/campaigns/tutorial03_seafaring.wmf/scripting/texts.lua:65"
"Battle Arena","Арена поединков","Build a battle arena and a training camp to the west of the mountains.","Постройте арену поединков и тренировочный лагерь западнее гор.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:91"
"Battle Arena","Арена поединков","Build a barracks, a battle arena and a training camp to the west of the mountains.","Постройте казармы, арену поединков и тренировочный лагерь западнее гор.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:111"
"Battle Arena","Арена поединков","While we’re waiting for the battle arena, you’ll probably notice some soldiers walking around. They are automatically exchanged from time to time. I’ll teach you about that later.","Пока мы ждем завершения строительства арены поединков вы, вероятно, заметили, что некоторые солдаты ходят вокруг. Они автоматически сменяются время от времени. Я расскажу вам об этом позже.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:68"
"Battle Arena","Арена поединков","Build a battle arena. It is a big building.","Постройте арену поединков. Это большое строение.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:77"
"Battle Arena","Арена поединков","There is a second training site: the training camp. It is a big building too, and to complement the battle arena, it trains attack and health (remember, the Barbarian soldiers cannot be trained in defense).","Второй тренировочный центр - тренировочный лагерь. Это также большое строение, в котором, в дополнение к боевой арене, тренируется атака и здоровье (помните, солдаты Варваров не могут быть обучены защите).","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:103"
"Battle Arena","Арена поединков","The battle arena only trains the soldiers in evade. To get the strongest possible soldier, you also need to build a training camp, which trains them in attack and health.","На арене поединков тренируется только Уклонение. Чтобы получить максимально сильного солдата, вы также должны построить тренировочный лагерь, который обучит их атаке и здоровью.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:113"
"Battle Arena","Арена поединков","To train in the training camp, our soldiers need food like in the battle arena, but no strong beer. Instead, they need different axes for attack training and helmets for health training.","Обучаясь в тренировочном лагере ваши солдаты, как и на арене поединков потребляют пищу, но не не потребляют крепкое пиво. Вместо этого им требуется различные топоры - для тренировки атаки и шлемы - для тренировки здоровья.","scenario_tutorial02_warfare.wmf","../../data/campaigns/tutorial02_warfare.wmf/scripting/texts.lua:123"
"Battle Arena","Арена поединков","Only this beer is acceptable for the soldiers in a battle arena. Some say that the whole power of the Barbarians lies in this ale. It helps to train the soldiers’ evade level from 0 to 1 to 2. Strong beer is also used in big inns to prepare meals.","Воины с арены поединков признают только это пиво. Некоторые даже считают, что в этом пиве кроется вся сила Варваров. Оно помогает тренировке солдат уклонению с 0 до 1 и до 2 уровней. Крепкое пиво также используется для приготовления обедов в гостиницах.","tribes_encyclopedia","../../data/tribes/initialization/barbarians/units.lua:223"
"Artifact","Артифакт","Your team stole an artifact from an enemy.","Ваша команда похитила артефакт у врага.","win_conditions","../../data/scripting/win_conditions/artifacts.lua:96"
"Artifact","Артифакт","You stole an artifact from an enemy.","Отнять артефакт у противника.","win_conditions","../../data/scripting/win_conditions/artifacts.lua:97"
"Attack","Атака","According to our fishermen he is locked up in the stronghold on the island. We should use the knowledge about shipbuilding that we took from Törver to build ships and attack their positions.","Согласно донесениям нашего рыбака, он заперт в укреплении на острове. Нам следует использовать знания о постройке кораблей, которое мы получили от Törver, чтобы построить флот и атаковать их позиции.","map_along_the_river.wmf","../../data/maps/SP_Scenarios/Along_The_River.wmf/scripting/texts.lua:127"
"Attack","Атака","Like all other tribes, the Atlanteans are also able to train soldiers: the dungeon trains attack – the major attribute of the Atlanteans – and the labyrinth trains evasion, health and defense. The items produced by the industry are used to train better soldiers in the two training sites.","Как и другие племена, Атланты могут тренировать солдат: в темнице развивают силу – основное качество Атлантов – а в лабиринте улучшают ловкость, здоровье и защиту.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:109"
"Attack","Атака","Three weeks later, I returned to Fremil to speak with our king. He was furious at the Barbarians, yet forbade any attack on these tribes. He believed that our army was too weak to survive in a war against the Barbarians.","Три недели спустя я возвратился во Фремил, чтобы говорить с нашим королем. Он был разъярен, кода услышал о Варварах, но все же запретил любое нападение на эти племена. Он полагал, что наша армия была слишком слаба, чтобы выжить в войне против Варваров.","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:87"
"Attack","Атака","Sire, I fear we are not safe in this foreign land. Who knows what terrible creatures live beyond this forest, in that mighty desert? What if these creatures enter the woods and await the time to attack us?","Сир, я боюсь, что мы не в безопасности на этой чужбине. Кто знает, какие ужасные существа живут за этим лесом в той огромной пустыне? Что, если эти существа в лесу только и ждут времени, чтобы напасть на нас?","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:126"
"Attack","Атака","There are still a few Barbarians hiding on our island, but I am sure that we will find them soon. Every Barbarian who doesn’t attack us will be put in a boat with the other peaceful ones, and sent back to their country.","Есть все еще несколько Варваров, скрывающихся на нашем острове, но я уверен, что мы скоро найдем их. Каждый Варвар, который не будет нападать на нас, будет посажен в лодку с другими мирными и отослан назад в их страну.","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:267"
"Attack","Атака","The message was addressed to me, begging me to come back to Fremil. It says that the Empire is at war with the Barbarians. They were attacked from the north by the tribe that I was forbidden to attack. It is clear to me what I must do…","Сообщение было адресовано мне, в нем была просьба вернуться домой, во Фремил. Говорилось, что Империя находится в состоянии войны с Варварами. Они подверглись нападению с севера племенем, на которое мне запретили напасть. Что ж, мне совершенно ясно, что я должен сделать! …","scenario_emp02.wmf","../../data/campaigns/emp02.wmf/scripting/texts.lua:288"
"Attack","Атака","I am really afraid, because we are completely unprepared should the Barbarians decide to attack us.","Я действительно опасаюсь, потому что мы совершенно не готовы, если варвары решат на нас напасть.","scenario_emp04.wmf","../../data/campaigns/emp04.wmf/scripting/texts.lua:267"
