"glossary_term","glossary_translation","source","target","file","location"
"AI","AI","Large plots are rare on those small islands. Prioritize construction of large buildings on them. Sometimes you will need big military buildings to expand all the way to the next island. The AI will perform poorly.","Veľké parcely sa na týchto ostrovčekoch vyskytujú zriedkavo. Stavajte na nich preto prioritne veľké budovy. Niekedy je na ovládnutie ďalších ostrovov nutné postaviť veľké vojenské budovy. Umelá inteligencia vykazuje slabý výkon.","maps","../../data/maps/Archipelago_Sea.wmf/elemental:11"
"AI","AI","Each player has a different obstacle to expansion, and there’s always more than one way to overcome it. While the AI can be defeated here without building a single ship, players are advised to make ports and shipyards a priority – expeditions are universally useful and are often the fastest way to gold deposits.","Každý hráč začína s odlišnou prekážkou rozpínania, pričom stále existuje viac ako jeden spôsob, ako ju prekonať. Aj keď umelú inteligenciu tu možno poraziť bez jedinej lode, hráčom sa odporúča, aby považovali prístavy a lodenice za prioritu – výpravy sú užitočné a sú často najrýchlejším spôsobom, ako nájsť ložiská zlata.","maps","../../data/maps/River_Explorers.wmf/elemental:10"
"AI","AI","The black player is surrounded in the center with no resources, so there are three different ways to use this map: without the black player for a normal 4 players’ map, with a black AI to add a complication to the expansion of the other players, or you can play as a challenge with the black player against the other 4 (VERY difficult).","Čierny hráč je obkľúčený ostatnými hráčmi v strede mapy a nemá k dispozícii žiadne zdroje. Mapu možno hrať troma rôznymi spôsobmi: bez čierneho hráča ako obyčajnú mapu pre 4 hráčov, s umelou inteligenciou na mieste čierneho hráča, ktorá ostatným hráčom skomplikuje expanziu, alebo si môžete trúfnuť hrať za čierneho hráča proti ostatným 4 (VEĽMI náročná výzva).","maps","../../data/maps/Wisent_Valley.wmf/elemental:11"
"Al’thunran","Al’thunran","We can see the raging flames that swallow Al’thunran from here, miles away.","Odtiaľto, na míle ďaleko, vidno zúrivé plamene, ktoré hltajú Al'thunran.","scenario_bar01.wmf","../../data/campaigns/bar01.wmf/scripting/texts.lua:171"
"Al’thunran","Al’thunran","Thron seeks to believe that Kalitath is tired of fighting and would be willing to join us once we march to re-establish law and order in Al’thunran. But I don’t think so. Kalitath is son to one of the mightiest generals of our forces and his family never quite liked the thought of bowing before the banner of Chat’Karuth. Why should he march with Chat’Karuth’s son to reclaim his heritage and the throne?","Thron verí, že Kalitath je unavený z bojov a bude ochotný pripojiť sa k nám pri pochode za nastolenie práv a poriadku v Al'thunran. Ale ja si to nemyslím. Kalitath je synom jedného z najmocnejších generálov našej armády a jeho rodine sa nikdy nepáčila myšlienka klaňať sa pred Chat'Karuthovou zástavou. Prečo by mal pochodovať s jeho synom, aby získal späť jeho dedičstvo a trón?","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:184"
"Al’thunran","Al’thunran","The frontier line of my forces has expanded to the edge of the forests. We have a long and cold winter and so many miles behind us. The fortification that we erected around Ondun will guarantee us a fast supply of men and goods, and once Al’thunran is in my hands, the two cities will be linked by a good and defensible infrastructure. Still, I hope I will not walk alone on this mission, I hope Kalitath son of Kun will follow my call.","Pohraničná línia mojich jednotiek sa rozšírila na okraj lesov. Ďaleko pred nami nás čaká dlhá a studená zima. Opevnenie, ktoré sme postavili okolo Ondunu, nám zabezpečí rýchly prísun vojska a tovaru. Keď získam Al'thunran, obe mestá prepojím dobrou infraštruktúrou s možnosťou obrany. Stále dúfam, že na túto misiu nie som sám, dúfam, že Kalitath, syn Kuna, odpovie na moje volanie.","scenario_bar02.wmf","../../data/campaigns/bar02.wmf/scripting/texts.lua:200"
"Archive","Archív","You have two messages at the moment. This one, which you are currently reading, and the one that informed you that a new headquarters was added to your economy. Let’s learn how to archive messages: first, select the message that you wish to archive by clicking on it in the list. Then, click the","Momentálne máte dve správy. Túto, ktorú práve čítate, a tú, ktorá vás oboznámila so skutočnosťou, že sa vaša ekonomika rozrástla o nové ústredie. Naučme sa archivovať správy: najprv vyberte správu, ktorú chcete archivovať, kliknutím na príslušnú položku v zozname. Potom ju kliknutím na","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:378"
"Archive","Archív","Manage your messages more efficiently: press ‘N’ for News to access the messages window, then use ‘G’ for Go To, and the Delete key to archive messages.","Spravujte svoje správy efektívnejšie: stlačením klávesu „N“ (nové správy) sa dostanete do okna správ, „G“ aktivujete „Ísť na“ a Delete môžete správy archivovať.","texts","../../data/txts/tips/general_game.lua:39"
"Atlantis","Atlantída","After landing on a mysterious island close to Atlantis, the remaining Atlanteans struggle to make a new home for themselves.","Po vylodení na tajuplnom ostrove neďaleko Atlantídy, zostávajúci Atlantíďania sa zo všetkých síl usilujú pre seba vytvoriť nový domov.","maps","../../data/campaigns/atl01.wmf/elemental:11"
"Atlantis","Atlantída","This story is taking place during the reign of King Askandor, the 43rd successor of King Ajanthul. He had been a good king, ruling Atlantis with wisdom and foresight. But with age, he became afraid of dying and so he began looking for a cure for death even though most clerics warned him against it. Some said that endless life was only for the gods and that to seek for it was forbidden.","Tento príbeh sa odohráva počas vlády kráľa Askandora, 43. nástupcu kráľa Ajanthula. Bol dobrým kráľom; vládol Atlantíde s rozumom a opatrnosťou. Ale ako starol, popadol ho strach zo smrti, nuž začal na ňu hľadať liek, aj keď ho pred tým väčšina duchovných varovala. Niektorí vraveli, že nekonečný život je určený len pre bohov a hľadať ho je zakázané.","scenario_atl01.wmf","../../data/campaigns/atl01.wmf/scripting/texts.lua:150"
