"glossary_term","glossary_translation","source","target","file","location"
"file","datoteka","Widelands could not load the file "%s". The file format seems to be incompatible.","Widelands ni mogel naložiti datoteke "%s". Format datoteke ni združljiv.","widelands","../../src/editor/editorinteractive.cc:515 ../../src/wlapplication.cc:801"
"file","datoteka","Backup file ‘%s’ could not be deleted.","Varnostne kopije '%s' ni bilo mogoče zbrisati.","widelands","../../src/logic/generic_save_handler.cc:225"
"file","datoteka","Error writing data to file ‘%s’!","Napaka pri pisanju v datoteko '%s'!","widelands","../../src/logic/generic_save_handler.cc:239"
"file","datoteka","Backup file ‘%s’ will be available for some time.","Varnostna kopija '%s' bo na voljo še nekaj časa.","widelands","../../src/logic/generic_save_handler.cc:254"
"file","datoteka","/me checked the received file. Although md5 check summing succeeded, I can not handle the file.","/me sem preveril sprejeto datoteko. Čeprav se vsota md5 ujema, z datoteko ne znam rokovati.","widelands","../../src/network/gameclient.cc:974"
"file","datoteka","Client requests file although none is available to send.","Odjemalec zahteva datoteko, čeprav ta ni na voljo.","widelands","../../src/network/network_gaming_messages.cc:154"
"file","datoteka","Started to send file %1$s to %2$s!","Začetek pošiljanja datoteke %1$s uporabniku %2$s!","widelands","../../src/network/network_gaming_messages.cc:159"
"file","datoteka","Completed transfer of file %1$s to %2$s","Končan prenos datoteke %1$s uporabniku %2$s","widelands","../../src/network/network_gaming_messages.cc:160"
"file","datoteka","Widelands tried to start a game with a file that could not be found at the given path.
The file was: %s
If this happens in a network game, the host might have selected a file that you do not own. Normally, such a file should be sent from the host to you, but perhaps the transfer was not yet finished!?!","Widelands je poskusil začeti igro z datoteko, ki ne obstaja.
Ime datoteke je: %s
Če se to zgodi pri mrežni igri, je morda gostitelj izbral datoteko, ki je vi nimate. Običajno gostitelj prenese datoteko k vam. Ali je prenos uspešno končan!?!","widelands","../../src/ui_fsmenu/launch_mpg.cc:210 ../../src/ui_fsmenu/launch_spg.cc:127"
"file","datoteka","Invalid path to file in campaigns.lua of tutorials.lua: %s","Neveljavna pot do datoteke v campaigns.lua od tutorials.lua: %s","widelands","../../src/ui_fsmenu/scenario_select.cc:263"
"game","igra","/forcePause            -  Force the game to pause.","/forcePause          - Prisili igro v premor.","widelands","../../src/network/gamehost.cc:128"
"game","igra","/endForcedPause        -  Return game to normal speed.","/endForcedPause        - Nadaljuj z igro.","widelands","../../src/network/gamehost.cc:130"
"game","igra","/kick <user|game> - Remove the given user or game from the metaserver","/kick <user|game> - Odstrani uporabnika ali igro z metastrežnika","widelands","../../src/network/internet_gaming.cc:918"
"game","igra","%1$s has left the game (%2$s)","%1$s je zapustil igro (%2$s)","widelands","../../src/network/network_gaming_messages.cc:127"
"game","igra","Unknown user has left the game (%s)","Neznan uporabnik je zapustil igro (%s)","widelands","../../src/network/network_gaming_messages.cc:129"
"game","igra","Client simulates beyond the game time allowed by the host.","Odjemalec simulira dlje od časa, ki ga dovoljuje gostitelj.","widelands","../../src/network/network_gaming_messages.cc:144"
