"glossary_term","glossary_translation","source","target","file","location"
"Outpost","Аванпост","Your outpost discovered an aggressor.","Ваш аванпост виявив агресора.","tribes","../../data/tribes/buildings/militarysites/empire/outpost/init.lua:43 ../../data/tribes/buildings/militarysites/frisians/outpost/init.lua:49"
"Outpost","Аванпост","Your outpost is under attack.","Ваш аванпост атакують.","tribes","../../data/tribes/buildings/militarysites/empire/outpost/init.lua:44 ../../data/tribes/buildings/militarysites/frisians/outpost/init.lua:50"
"Attack","Атака","Sire, I fear we are not safe in this foreign land. Who knows what terrible creatures live beyond this forest, in that mighty desert? What if these creatures enter the woods and await the time to attack us?","Ваша високість, я боюсь, що ми в небезпеці на цьому острові. Хто знає, які страшні істоти живуть за межами цього лісу, в цій великій пустелі? Що робити, якщо ці істоти затаїлись десь і чекають моменту щоб напасти на нас?","scenario_emp01.wmf","../../data/campaigns/emp01.wmf/scripting/texts.lua:129"
"Guardhouse","Будинок охорони","Your guardhouse discovered an aggressor.","Ваш будинок охорони виявив агресора.","tribes","../../data/tribes/buildings/militarysites/atlanteans/guardhouse/init.lua:40"
"Guardhouse","Будинок охорони","Your guardhouse is under attack.","Ваш будинок охорони атакують.","tribes","../../data/tribes/buildings/militarysites/atlanteans/guardhouse/init.lua:41"
"construction site","Будівельний майданчик","Works at construction sites to raise new buildings.","Працюють на будмайданчиках, будують нові будівлі.","tribes_encyclopedia","../../data/tribes/workers/atlanteans/builder/helptexts.lua:3"
"construction site","Будівельний майданчик","Works at construction sites to raise new buildings.","Працюють на будмайданчиках, будують нові будівлі.","tribes_encyclopedia","../../data/tribes/workers/barbarians/builder/helptexts.lua:3"
"construction site","Будівельний майданчик","Works at construction sites to raise new buildings.","Працюють на будмайданчиках, будують нові будівлі.","tribes_encyclopedia","../../data/tribes/workers/empire/builder/helptexts.lua:3"
"Barbarians","Варвари","The Barbarians have four different military buildings you can build: the sentry (small), the barrier and the tower (both medium) and the fortress (big). Just choose the one you like most.","У варварів є чотири різні військові будівлі, які ви можете збудувати: сторожа (мала), застава та вежа (малі), і фортеця (велика). Оберіть ту будівлю, яка вам найбільше подобається.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:458"
"Tower","Вежа","It is amazing how far one can see from the highest tower of the castle. We can watch the whole island. So now I wonder why Lanissa did not see us and thus did not prepare. Be that as it may, some things will never come to the light of day. The only important issue at the moment are the opposing troops still left. We have discovered enemy positions held by Erwyn to the north and east of the castle. He is known to be a strong warlord and surely commands the strongest warriors. In the south, we caught sight of some food infrastructures guarded by Jomo – a younger warlord – and we should take care of those infrastructures so we can cut off our enemies’ food supply.","Неймовірно, як далеко можна побачити із найвищої вежі замка. Ми можемо оглянути весь острів. Тепер мені цікаво, чому Лінасс не побачила нас  і не підготовилась. Та в будь якому випадку добре, коли деякі речі не трапляються. Єдина важлива річ зараз - це військо ворога. Ми спостерігали позиції нашого ворога Ервіна на півночі та сході від замку. Він відомий як сильний та впевнений полководець, не менш сильних солдат. На півдні ми бачили джерело харчів Йомо - молодшого польового командира - яке охороняється, лише, частково. Ми повинні відрізати  їм постачання продуктів.","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:91"
"Tower","Вежа","The Barbarians have four different military buildings you can build: the sentry (small), the barrier and the tower (both medium) and the fortress (big). Just choose the one you like most.","У варварів є чотири різні військові будівлі, які ви можете збудувати: сторожа (мала), застава та вежа (малі), і фортеця (велика). Оберіть ту будівлю, яка вам найбільше подобається.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:458"
"Tower","Вежа","Your tower discovered an aggressor.","Ваша вежа виявила агресора.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower/init.lua:46 ../../data/tribes/buildings/militarysites/barbarians/tower/init.lua:53 ../../data/tribes/buildings/militarysites/empire/tower/init.lua:48 ../../data/tribes/buildings/militarysites/frisians/tower/init.lua:51"
"Tower","Вежа","Your tower is under attack.","Вашу вежу атакують.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower/init.lua:47 ../../data/tribes/buildings/militarysites/barbarians/tower/init.lua:54 ../../data/tribes/buildings/militarysites/empire/tower/init.lua:49 ../../data/tribes/buildings/militarysites/frisians/tower/init.lua:52"
"High Tower","Висока вежа","Your high tower discovered an aggressor.","Ваша висока вежа виявила агресора.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower_high/init.lua:38"
"High Tower","Висока вежа","Your high tower is under attack.","Вашу високу вежу атакують.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower_high/init.lua:39"
"Sharp Ax","Гостра сокира","Produces axes, sharp axes and broad axes.","Виготовляє тканину для кораблів та солдат.","tribes_encyclopedia","../../data/tribes/buildings/productionsites/barbarians/ax_workshop/helptexts.lua:13"
"multiplayer","Декілька гравців","A multiplayer battle map on a small circle-shaped island.","Карта для многокористувацької гри на невеликомі кільцеподібному острові.","maps","../../data/maps/Two_Frontiers.wmf/elemental:10"
"Guardhall","Зал охорони","Your guardhall discovered an aggressor.","Ваш зал охорони виявив агресора.","tribes","../../data/tribes/buildings/militarysites/atlanteans/guardhall/init.lua:42"
"Guardhall","Зал охорони","Your guardhall is under attack.","Ваш зал охорони атакують.","tribes","../../data/tribes/buildings/militarysites/atlanteans/guardhall/init.lua:43"
"Castle","Замок","Let’s hope that Lanissa – the warlord holding sway over that castle – has not discovered our movements yet. Perhaps we have a chance of conquering that mighty building without a bigger fight! However, it is essential that we capture it. It will be the key to our reign over this island!","Маємо надію, що Лінасс - тамтешня воєначальниця - ще не помітила нас. Можливо вдасться захватити цю міцну будівлю без шума та пилу. Так чи інакше нам його потрібно брати, то, що це ключ до всього острова!","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:80"
"Castle","Замок","Ancient Castle Captured","Старовинний замок захвачено","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:89"
"Castle","Замок","Wonderful! Our troops have finally defeated Lanissa and her soldiers. The ancient castle is ours!","Вражаюче! Наші війська повністю розбили Лінасс та її солдат. Старовинний замок наш!","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:90"
"Castle","Замок","It is amazing how far one can see from the highest tower of the castle. We can watch the whole island. So now I wonder why Lanissa did not see us and thus did not prepare. Be that as it may, some things will never come to the light of day. The only important issue at the moment are the opposing troops still left. We have discovered enemy positions held by Erwyn to the north and east of the castle. He is known to be a strong warlord and surely commands the strongest warriors. In the south, we caught sight of some food infrastructures guarded by Jomo – a younger warlord – and we should take care of those infrastructures so we can cut off our enemies’ food supply.","Неймовірно, як далеко можна побачити із найвищої вежі замка. Ми можемо оглянути весь острів. Тепер мені цікаво, чому Лінасс не побачила нас  і не підготовилась. Та в будь якому випадку добре, коли деякі речі не трапляються. Єдина важлива річ зараз - це військо ворога. Ми спостерігали позиції нашого ворога Ервіна на півночі та сході від замку. Він відомий як сильний та впевнений полководець, не менш сильних солдат. На півдні ми бачили джерело харчів Йомо - молодшого польового командира - яке охороняється, лише, частково. Ми повинні відрізати  їм постачання продуктів.","map_the_green_plateau.wmf","../../data/maps/The_Green_Plateau.wmf/scripting/texts.lua:91"
"Castle","Замок","Another thaw set in. Three tribes were sheltering from severe winter among majestic mountains. At the time of the solstice they listened to the oracle and went to war. The only survivor will sacrifice his enemies’ treasures on the ancient altar, build there a splendid castle and gain the goodwill and respect of the Gods.","Потепління. Притулок від суворої зими, три племені знайшли в величних горах. Під час вимушеної ізоляції, вони по волі своїх оракулів готувались до війни. Єдиний переможець принесе в жертву, на древньому вівтарі, скарби своїх ворогів, побудує розкішний замок та отримає добру волю та повагу від Богів.","maps","../../data/maps/The_Thaw.wmf/elemental:10"
"Castle","Замок","Your castle discovered an aggressor.","Ваш замок виявив агресора.","tribes","../../data/tribes/buildings/militarysites/atlanteans/castle/init.lua:93 ../../data/tribes/buildings/militarysites/empire/castle/init.lua:41"
"Castle","Замок","Your castle is under attack.","Ваш замок атакують.","tribes","../../data/tribes/buildings/militarysites/atlanteans/castle/init.lua:94 ../../data/tribes/buildings/militarysites/empire/castle/init.lua:42"
"Barrier","Застава","The Barbarians have four different military buildings you can build: the sentry (small), the barrier and the tower (both medium) and the fortress (big). Just choose the one you like most.","У варварів є чотири різні військові будівлі, які ви можете збудувати: сторожа (мала), застава та вежа (малі), і фортеця (велика). Оберіть ту будівлю, яка вам найбільше подобається.","scenario_tutorial01_basic_control.wmf","../../data/campaigns/tutorial01_basic_control.wmf/scripting/texts.lua:458"
"Barrier","Застава","Your barrier discovered an aggressor.","Ваша застава виявила агресора.","tribes","../../data/tribes/buildings/militarysites/barbarians/barrier/init.lua:46 ../../data/tribes/buildings/militarysites/empire/barrier/init.lua:52"
"Barrier","Застава","Your barrier is under attack.","Вашу заставу атакують.","tribes","../../data/tribes/buildings/militarysites/barbarians/barrier/init.lua:47 ../../data/tribes/buildings/militarysites/empire/barrier/init.lua:53"
"Log","Колода","Saws logs to produce planks.","Розпилює деревину для вигитовлення досок.","tribes_encyclopedia","../../data/tribes/workers/atlanteans/sawyer/helptexts.lua:3"
"Small Tower","Мала вежа","Your small tower discovered an aggressor.","Ваша мала вежа виявила агресора.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower_small/init.lua:41"
"Small Tower","Мала вежа","Your small tower is under attack.","Вашу малу вежу атакують.","tribes","../../data/tribes/buildings/militarysites/atlanteans/tower_small/init.lua:42"
"tribe","Плем'я","Six months ago, Lutius – a young general of the Empire – was sent with 150 soldiers to the frontier beyond the northern forests where Barbarian tribes were crossing onto land held by the Empire. His task was to defend the Empire’s land. At first, everything was calm. He even talked to a few Barbarian children and thought about a peaceful life – side by side with this archaic folk. He began to feel safer and his army began to drop their attention off the potential enemy. That was their undoing. One night in March his unprepared army was attacked by 100 Barbarian footmen and was completely scattered. Only with his bare life he and a handful of his soldiers survived.","Шість місяців тому, Люциус - молодий полководець Імперії - вирушив з 150 солдатами до північного лісу. де Варвари переходили на землі, якими володіла Імперія. Його завданням було захистити Імперські землі. Спочатку все було спокійно. Він навіть розмовляв з декількома дітьми варварів, та подумував про мирне життя, пліч о пліч з цим народом. Він став спокійніше, і його армія почала приділяти менше уваги потенційному супернику. Це було їх помилкою. В одну з березневих ночей, його непідготовлена армія була атакована варварами, в кількості 100 чоловік, та повністю розбита. Тільки завдяки його мирному життю, йому та частині його солдат вдалося вижити.","maps","../../data/campaigns/campaigns.conf:40"
"tribe","Плем'я","A few miles in front of Gerion Coast lies a small unnamed island. Until now, you have not seen any reason to sail there, but yesterday a big fireball came from the sky and touched down in its center. Is this a sign of the Gods? You believe it is and you hope that your tribe will find the treasure of this island before other tribes will follow.","На відстані декількох миль від узбережжя Геріона, знаходиться маленький острів без імені. До цього часу в тебе не було причини відвідувати його, але вчора велика вогняна куля вдарила з неба в саме серце острову. Це знак Богів? Ти впевнений, що це так і є, та маєш надію, що твоє плем'я оволодіє скарбом раніше, ніж інші племена дістануться туди.","maps","../../data/maps/Comet_Island_v2.wmf/elemental:10"
"tribe","Плем'я","Long after a meteor crashed into a couple of mountains, life blossoms in the crater. Two tribes are now fighting for the rich resources.","Через багато років після падіння метеориту в гори, в кратері розцвіло життя. І тепер два племені воюють за багаті ресурси.","maps","../../data/maps/Crater.wmf/elemental:10"
"tribe","Плем'я","Is this a test by the Gods or an evil plan by someone else, that you and your tribe woke up on this island among fire and lava? Until now it seems as if you are alone, but no-one knows what might happen if you met an opposing tribe?","Було це випробовуванням, посланням Богів, чи просто чийсь підступний план, та одного разу ти і твоє плем'я прокинулись на цьому острові, серед вогню та лави. Схоже на те, що ти тут один, але, що буде, коли зустрінеш інші племена?","maps","../../data/maps/Firegames.wmf/elemental:10"
"tribe","Плем'я","For centuries, you’ve lived peacefully side by side with the other tribe on the neighboring island. This peace seems to come to an end now – your neighbor has begun to expand.","Століттями ми мірно жили поряд з племенем на іншому острові. Та тепер миру, здається, кінець - сусіди вирішили розширити свої володіння.","maps","../../data/maps/Islands_at_War.wmf/elemental:10"
"tribe","Плем'я","Another thaw set in. Three tribes were sheltering from severe winter among majestic mountains. At the time of the solstice they listened to the oracle and went to war. The only survivor will sacrifice his enemies’ treasures on the ancient altar, build there a splendid castle and gain the goodwill and respect of the Gods.","Потепління. Притулок від суворої зими, три племені знайшли в величних горах. Під час вимушеної ізоляції, вони по волі своїх оракулів готувались до війни. Єдиний переможець принесе в жертву, на древньому вівтарі, скарби своїх ворогів, побудує розкішний замок та отримає добру волю та повагу від Богів.","maps","../../data/maps/The_Thaw.wmf/elemental:10"
"tribe","Плем'я","It seems as if this magical valley has been inhabited by wisents since the beginning of days. When your tribe came to this place, you were sure that it offered enough space for a peaceful life. But can your tribe live in peace with your neighbors?","Здається, зубри жили в цій чарівній долині з початку часів. прийшовши в цю землю, ти зрозумів, що місця для мирного життя там достатньо. Та як же можна жити в мирі з такими сусідами?","maps","../../data/maps/Wisent_Valley.wmf/elemental:10"
"Ax","Сокира","Produces axes, sharp axes and broad axes.","Виготовляє тканину для кораблів та солдат.","tribes_encyclopedia","../../data/tribes/buildings/productionsites/barbarians/ax_workshop/helptexts.lua:13"
